id,group,time,score
1,Control,t1,1.879669206
2,Control,t1,1.761927838
3,Control,t1,2.012837225
4,Control,t1,1.710963119
5,Control,t1,1.523746467
6,Control,t1,1.639486489
7,Control,t1,1.84135947
8,Control,t1,1.84135947
1,Y_glucan,t1,1.798650645
2,Y_glucan,t1,1.894316063
3,Y_glucan,t1,1.907948522
4,Y_glucan,t1,1.914871818
5,Y_glucan,t1,
6,Y_glucan,t1,1.409933123
7,Y_glucan,t1,1.807535028
8,Y_glucan,t1,1.450249108
1,Control,t2,2.08278537
2,Control,t2,2.123851641
3,Control,t2,2.117271296
4,Control,t2,2.103803721
5,Control,t2,2.021189299
6,Control,t2,2.190331698
7,Control,t2,2.484299839
8,Control,t2,2.42975228
1,Y_glucan,t2,2.522444234
2,Y_glucan,t2,2.311753861
3,Y_glucan,t2,2.252853031
4,Y_glucan,t2,2.167317335
5,Y_glucan,t2,2.178976947
6,Y_glucan,t2,2.281033367
7,Y_glucan,t2,2.389166084
8,Y_glucan,t2,2.170261715
1,Control,t3,2.437750563
2,Control,t3,2.037426498
3,Control,t3,2.195899652
4,Control,t3,2.123851641
5,Control,t3,2.227886705
6,Control,t3,2.127104798
7,Control,t3,2.309630167
8,Control,t3,2.170261715
1,Y_glucan,t3,2.376576957
2,Y_glucan,t3,2.269512944
3,Y_glucan,t3,2.178976947
4,Y_glucan,t3,2.290034611
5,Y_glucan,t3,2.133538908
6,Y_glucan,t3,2.045322979
7,Y_glucan,t3,2.155336037
8,Y_glucan,t3,2.247973266
