id,group,time,score
1,Control,t1,-1.070581074
2,Control,t1,-0.065501549
3,Control,t1,-0.522878745
4,Control,t1,-0.657577319
5,Control,t1,-0.420216403
6,Control,t1,-0.148741651
7,Control,t1,-0.455931956
8,Control,t1,-0.337242168
1,Y_glucan,t1,-0.387216143
2,Y_glucan,t1,-0.769551079
3,Y_glucan,t1,-0.823908741
4,Y_glucan,t1,-0.823908741
5,Y_glucan,t1,
6,Y_glucan,t1,-0.387216143
7,Y_glucan,t1,-0.494850022
8,Y_glucan,t1,-0.698970004
1,Control,t2,-1.638272164
2,Control,t2,-1.045757491
3,Control,t2,-1.455931956
4,Control,t2,-1.200659451
5,Control,t2,-1.366531544
6,Control,t2,-1.102372909
7,Control,t2,-1
8,Control,t2,-0.886056648
1,Y_glucan,t2,-0.795880017
2,Y_glucan,t2,-1.050609993
3,Y_glucan,t2,-1.008773924
4,Y_glucan,t2,-0.698970004
5,Y_glucan,t2,-0.657577319
6,Y_glucan,t2,-1.045757491
7,Y_glucan,t2,-0.920818754
8,Y_glucan,t2,-0.958607315
1,Control,t3,-1
2,Control,t3,-0.920818754
3,Control,t3,-0.853871964
4,Control,t3,-0.522878745
5,Control,t3,-1.15490196
6,Control,t3,-0.769551079
7,Control,t3,-0.853871964
8,Control,t3,-0.318758763
1,Y_glucan,t3,-0.958607315
2,Y_glucan,t3,-1.086186148
3,Y_glucan,t3,-0.721246399
4,Y_glucan,t3,-0.958607315
5,Y_glucan,t3,-0.744727495
6,Y_glucan,t3,-1.301029996
7,Y_glucan,t3,-0.30980392
8,Y_glucan,t3,-0.721246399
