id,group,time,score
1,Control,t1,0.21
2,Control,t1,1.59
3,Control,t1,0.11
4,Control,t1,0.3
5,Control,t1,0.43
6,Control,t1,0.7
7,Control,t1,0.6
8,Control,t1,0.32
1,Y_glucan,t1,0.56
2,Y_glucan,t1,0.27
3,Y_glucan,t1,0.25
4,Y_glucan,t1,1.22
5,Y_glucan,t1,
6,Y_glucan,t1,0.85
7,Y_glucan,t1,0.85
8,Y_glucan,t1,0.52
1,Control,t2,0.13
2,Control,t2,0.2
3,Control,t2,0.28
4,Control,t2,0.16
5,Control,t2,0.17
6,Control,t2,
7,Control,t2,0.15
8,Control,t2,0.26
1,Y_glucan,t2,0.21
2,Y_glucan,t2,0.27
3,Y_glucan,t2,0.52
4,Y_glucan,t2,0.28
5,Y_glucan,t2,0.23
6,Y_glucan,t2,0.2
7,Y_glucan,t2,0.1
8,Y_glucan,t2,0.45
1,Control,t3,0.46
2,Control,t3,0.39
3,Control,t3,0.35
4,Control,t3,0.49
5,Control,t3,0.38
6,Control,t3,0.65
7,Control,t3,0.19
8,Control,t3,0.36
1,Y_glucan,t3,0.62
2,Y_glucan,t3,0.36
3,Y_glucan,t3,0.84
4,Y_glucan,t3,0.26
5,Y_glucan,t3,0.35
6,Y_glucan,t3,0.13
7,Y_glucan,t3,0.79
8,Y_glucan,t3,0.81
