id,group,time,score
1,Control,t1,20.2
2,Control,t1,28.1
3,Control,t1,29.2
4,Control,t1,16.1
5,Control,t1,28.5
6,Control,t1,
7,Control,t1,24
8,Control,t1,33.1
1,Y_glucan,t1,26.4
2,Y_glucan,t1,21.4
3,Y_glucan,t1,29.3
4,Y_glucan,t1,37.7
5,Y_glucan,t1,20.3
6,Y_glucan,t1,24.1
7,Y_glucan,t1,36.7
8,Y_glucan,t1,25.2
1,Control,t2,20.9
2,Control,t2,22.1
3,Control,t2,13.8
4,Control,t2,17.6
5,Control,t2,15.2
6,Control,t2,15.3
7,Control,t2,17.4
8,Control,t2,27.9
1,Y_glucan,t2,31.9
2,Y_glucan,t2,16.6
3,Y_glucan,t2,16
4,Y_glucan,t2,13
5,Y_glucan,t2,15.7
6,Y_glucan,t2,25.1
7,Y_glucan,t2,19.5
8,Y_glucan,t2,13.1
1,Control,t3,12.9
2,Control,t3,21.4
3,Control,t3,15.4
4,Control,t3,9.93
5,Control,t3,12.2
6,Control,t3,20.2
7,Control,t3,21.2
8,Control,t3,17.8
1,Y_glucan,t3,16.3
2,Y_glucan,t3,14.1
3,Y_glucan,t3,15.6
4,Y_glucan,t3,13.9
5,Y_glucan,t3,15.1
6,Y_glucan,t3,16.5
7,Y_glucan,t3,15.7
8,Y_glucan,t3,9.76
