id,group,time,score
1,Control,t1,15.7
2,Control,t1,17.9
3,Control,t1,17.9
4,Control,t1,19.7
5,Control,t1,23.1
6,Control,t1,
7,Control,t1,26.4
8,Control,t1,18.1
1,Y_glucan,t1,21.3
2,Y_glucan,t1,19.5
3,Y_glucan,t1,24.6
4,Y_glucan,t1,18.8
5,Y_glucan,t1,20.4
6,Y_glucan,t1,16.2
7,Y_glucan,t1,22.1
8,Y_glucan,t1,13.4
1,Control,t2,13.7
2,Control,t2,17.4
3,Control,t2,19.7
4,Control,t2,19.7
5,Control,t2,17.3
6,Control,t2,21.8
7,Control,t2,19.8
8,Control,t2,20
1,Y_glucan,t2,34.5
2,Y_glucan,t2,23.1
3,Y_glucan,t2,31.8
4,Y_glucan,t2,23.4
5,Y_glucan,t2,26.5
6,Y_glucan,t2,31.4
7,Y_glucan,t2,21
8,Y_glucan,t2,12.2
1,Control,t3,27.1
2,Control,t3,21.6
3,Control,t3,27.4
4,Control,t3,29.9
5,Control,t3,26.7
6,Control,t3,22.2
7,Control,t3,19
8,Control,t3,12.9
1,Y_glucan,t3,28.7
2,Y_glucan,t3,20.6
3,Y_glucan,t3,23.5
4,Y_glucan,t3,29.2
5,Y_glucan,t3,20.1
6,Y_glucan,t3,25.7
7,Y_glucan,t3,21
8,Y_glucan,t3,24.5
