id,group,time,score
1,Control,t1,37
2,Control,t1,51.9
3,Control,t1,35.4
4,Control,t1,35
5,Control,t1,69.8
6,Control,t1,
7,Control,t1,40.6
8,Control,t1,50
1,Y_glucan,t1,45.5
2,Y_glucan,t1,28.8
3,Y_glucan,t1,39.6
4,Y_glucan,t1,60.8
5,Y_glucan,t1,60
6,Y_glucan,t1,41.1
7,Y_glucan,t1,45.2
8,Y_glucan,t1,37
1,Control,t2,31.7
2,Control,t2,40.2
3,Control,t2,33.7
4,Control,t2,31.6
5,Control,t2,24
6,Control,t2,52.4
7,Control,t2,32.8
8,Control,t2,44.3
1,Y_glucan,t2,41.2
2,Y_glucan,t2,40.7
3,Y_glucan,t2,48
4,Y_glucan,t2,32.3
5,Y_glucan,t2,39.1
6,Y_glucan,t2,34.4
7,Y_glucan,t2,24.5
8,Y_glucan,t2,26.8
1,Control,t3,29.5
2,Control,t3,43
3,Control,t3,27.6
4,Control,t3,26.6
5,Control,t3,25.1
6,Control,t3,31.3
7,Control,t3,20.3
8,Control,t3,16.8
1,Y_glucan,t3,28.9
2,Y_glucan,t3,17.2
3,Y_glucan,t3,31.1
4,Y_glucan,t3,17.9
5,Y_glucan,t3,30.2
6,Y_glucan,t3,22.1
7,Y_glucan,t3,27.5
8,Y_glucan,t3,23.9
