id,group,time,score
1,Control,t1,1.206825876
2,Control,t1,1.371067862
3,Control,t1,1.238046103
4,Control,t1,1.08278537
5,Control,t1,1.342422681
6,Control,t1,
7,Control,t1,1.264817823
8,Control,t1,1.399673721
1,Y_glucan,t1,1.404833717
2,Y_glucan,t1,1.250420002
3,Y_glucan,t1,1.401400541
4,Y_glucan,t1,1.527629901
5,Y_glucan,t1,1.247973266
6,Y_glucan,t1,1.431363764
7,Y_glucan,t1,1.651278014
8,Y_glucan,t1,1.276461804
1,Control,t2,1.309630167
2,Control,t2,1.359835482
3,Control,t2,1.204119983
4,Control,t2,1.209515015
5,Control,t2,1.190331698
6,Control,t2,1.348304863
7,Control,t2,1.222716471
8,Control,t2,1.357934847
1,Y_glucan,t2,1.414973348
2,Y_glucan,t2,1.29666519
3,Y_glucan,t2,1.149219113
4,Y_glucan,t2,1.117271296
5,Y_glucan,t2,1.173186268
6,Y_glucan,t2,1.281033367
7,Y_glucan,t2,1.396199347
8,Y_glucan,t2,1.178976947
1,Control,t3,1.252853031
2,Control,t3,1.173186268
3,Control,t3,1.206825876
4,Control,t3,1.071882007
5,Control,t3,1.136720567
6,Control,t3,1.193124598
7,Control,t3,1.093421685
8,Control,t3,1.120573931
1,Y_glucan,t3,1.1430148
2,Y_glucan,t3,1.176091259
3,Y_glucan,t3,1.201397124
4,Y_glucan,t3,1.064457989
5,Y_glucan,t3,1.139879086
6,Y_glucan,t3,1.190331698
7,Y_glucan,t3,1.220108088
8,Y_glucan,t3,1.149219113
