id,group,time,score
1,Control,t1,-0.13076828
2,Control,t1,0.178976947
3,Control,t1,0.025305865
4,Control,t1,0.117271296
5,Control,t1,0.178976947
6,Control,t1,0.127104798
7,Control,t1,0.303196057
8,Control,t1,0.617000341
1,Y_glucan,t1,0.053078443
2,Y_glucan,t1,-0.091514981
3,Y_glucan,t1,0.123851641
4,Y_glucan,t1,0.285557309
5,Y_glucan,t1,
6,Y_glucan,t1,0.250420002
7,Y_glucan,t1,0.320146286
8,Y_glucan,t1,0.436162647
1,Control,t2,1.653212514
2,Control,t2,1.315970345
3,Control,t2,1.809559715
4,Control,t2,0.881954971
5,Control,t2,1.688419822
6,Control,t2,1.480006943
7,Control,t2,0.882524538
8,Control,t2,1.627365857
1,Y_glucan,t2,1.404833717
2,Y_glucan,t2,1
3,Y_glucan,t2,0.743509765
4,Y_glucan,t2,1.574031268
5,Y_glucan,t2,1.505149978
6,Y_glucan,t2,1.895422546
7,Y_glucan,t2,1.096910013
8,Y_glucan,t2,1.758154622
1,Control,t3,0.482873584
2,Control,t3,0.326335861
3,Control,t3,0.517195898
4,Control,t3,0.496929648
5,Control,t3,0.326335861
6,Control,t3,0.62324929
7,Control,t3,0.895422546
8,Control,t3,0.619093331
1,Y_glucan,t3,0.387389826
2,Y_glucan,t3,0.491361694
3,Y_glucan,t3,0.378397901
4,Y_glucan,t3,0.534026106
5,Y_glucan,t3,0.583198774
6,Y_glucan,t3,0.652246341
7,Y_glucan,t3,0.397940009
8,Y_glucan,t3,0.761927838
