id,group,time,score
1,Control,t1,13.8
2,Control,t1,13.6
3,Control,t1,13.6
4,Control,t1,14.4
5,Control,t1,17.9
6,Control,t1,
7,Control,t1,19.3
8,Control,t1,29.8
1,Y_glucan,t1,18.3
2,Y_glucan,t1,22.1
3,Y_glucan,t1,23.4
4,Y_glucan,t1,31.5
5,Y_glucan,t1,17.8
6,Y_glucan,t1,22.7
7,Y_glucan,t1,33.2
8,Y_glucan,t1,17.9
1,Control,t2,18.3
2,Control,t2,20.6
3,Control,t2,15.4
4,Control,t2,14.4
5,Control,t2,14.7
6,Control,t2,20.6
7,Control,t2,14.9
8,Control,t2,19.1
1,Y_glucan,t2,19.9
2,Y_glucan,t2,17.9
3,Y_glucan,t2,14.5
4,Y_glucan,t2,12.3
5,Y_glucan,t2,12.3
6,Y_glucan,t2,18.2
7,Y_glucan,t2,17.6
8,Y_glucan,t2,13.4
1,Control,t3,14.8
2,Control,t3,14.8
3,Control,t3,14.6
4,Control,t3,13.8
5,Control,t3,10.8
6,Control,t3,13.7
7,Control,t3,12.2
8,Control,t3,11.8
1,Y_glucan,t3,11.4
2,Y_glucan,t3,13.1
3,Y_glucan,t3,15.1
4,Y_glucan,t3,13.1
5,Y_glucan,t3,15.9
6,Y_glucan,t3,13.9
7,Y_glucan,t3,13.5
8,Y_glucan,t3,12.1
