id,group,time,score
1,Control,t1,1.139879086
2,Control,t1,1.133538908
3,Control,t1,1.133538908
4,Control,t1,1.158362492
5,Control,t1,1.252853031
6,Control,t1,
7,Control,t1,1.285557309
8,Control,t1,1.474216264
1,Y_glucan,t1,1.26245109
2,Y_glucan,t1,1.344392274
3,Y_glucan,t1,1.369215857
4,Y_glucan,t1,1.498310554
5,Y_glucan,t1,1.250420002
6,Y_glucan,t1,1.356025857
7,Y_glucan,t1,1.521138084
8,Y_glucan,t1,1.252853031
1,Control,t2,1.26245109
2,Control,t2,1.31386722
3,Control,t2,1.187520721
4,Control,t2,1.158362492
5,Control,t2,1.167317335
6,Control,t2,1.31386722
7,Control,t2,1.173186268
8,Control,t2,1.281033367
1,Y_glucan,t2,1.298853076
2,Y_glucan,t2,1.252853031
3,Y_glucan,t2,1.161368002
4,Y_glucan,t2,1.089905111
5,Y_glucan,t2,1.089905111
6,Y_glucan,t2,1.260071388
7,Y_glucan,t2,1.245512668
8,Y_glucan,t2,1.127104798
1,Control,t3,1.170261715
2,Control,t3,1.170261715
3,Control,t3,1.164352856
4,Control,t3,1.139879086
5,Control,t3,1.033423755
6,Control,t3,1.136720567
7,Control,t3,1.086359831
8,Control,t3,1.071882007
1,Y_glucan,t3,1.056904851
2,Y_glucan,t3,1.117271296
3,Y_glucan,t3,1.178976947
4,Y_glucan,t3,1.117271296
5,Y_glucan,t3,1.201397124
6,Y_glucan,t3,1.1430148
7,Y_glucan,t3,1.130333768
8,Y_glucan,t3,1.08278537
