id,group,time,score
1,Control,t1,0.893206753
2,Control,t1,0.758911892
3,Control,t1,0.769377326
4,Control,t1,1.161368002
5,Control,t1,0.786751422
6,Control,t1,
7,Control,t1,0.866877814
8,Control,t1,0.930949031
1,Y_glucan,t1,0.860936621
2,Y_glucan,t1,1.033423755
3,Y_glucan,t1,1.004321374
4,Y_glucan,t1,1.212187604
5,Y_glucan,t1,0.630427875
6,Y_glucan,t1,1.079181246
7,Y_glucan,t1,0.950364854
8,Y_glucan,t1,0.915927212
1,Control,t2,1.190331698
2,Control,t2,1.245512668
3,Control,t2,0.963315511
4,Control,t2,0.968482949
5,Control,t2,1.146128036
6,Control,t2,1.117271296
7,Control,t2,0.992111488
8,Control,t2,0.997823081
1,Y_glucan,t2,1.187520721
2,Y_glucan,t2,1.123851641
3,Y_glucan,t2,1.096910013
4,Y_glucan,t2,1.017033339
5,Y_glucan,t2,1.152288344
6,Y_glucan,t2,1.187520721
7,Y_glucan,t2,1.103803721
8,Y_glucan,t2,1.161368002
1,Control,t3,1.004321374
2,Control,t3,0.961421094
3,Control,t3,1.008600172
4,Control,t3,
5,Control,t3,0.978636948
6,Control,t3,1
7,Control,t3,0.915927212
8,Control,t3,0.953759692
1,Y_glucan,t3,0.984977126
2,Y_glucan,t3,0.949390007
3,Y_glucan,t3,1.075546961
4,Y_glucan,t3,0.969415912
5,Y_glucan,t3,1.012837225
6,Y_glucan,t3,0.969415912
7,Y_glucan,t3,0.956648579
8,Y_glucan,t3,1.045322979
