id,group,time,score
1,Control,t1,44.9
2,Control,t1,88.7
3,Control,t1,82.2
4,Control,t1,59.1
5,Control,t1,69.4
6,Control,t1,64.2
7,Control,t1,77.1
8,Control,t1,56.5
1,Y_Glucan,t1,71.9
2,Y_Glucan,t1,116
3,Y_Glucan,t1,95.1
4,Y_Glucan,t1,53.9
5,Y_Glucan,t1,52.6
6,Y_Glucan,t1,73.2
7,Y_Glucan,t1,
8,Y_Glucan,t1,64.2
1,Control,t2,51.4
2,Control,t2,53.9
3,Control,t2,48.8
4,Control,t2,80.9
5,Control,t2,57.8
6,Control,t2,62.9
7,Control,t2,96.4
8,Control,t2,59.1
1,Y_Glucan,t2,61.6
2,Y_Glucan,t2,47.5
3,Y_Glucan,t2,59.1
4,Y_Glucan,t2,51.4
5,Y_Glucan,t2,60.4
6,Y_Glucan,t2,48.8
7,Y_Glucan,t2,57.8
8,Y_Glucan,t2,32.1
1,Control,t3,77.1
2,Control,t3,50.1
3,Control,t3,70.6
4,Control,t3,74.5
5,Control,t3,84.8
6,Control,t3,55.2
7,Control,t3,59.1
8,Control,t3,52.6
1,Y_Glucan,t3,66.8
2,Y_Glucan,t3,61.6
3,Y_Glucan,t3,120
4,Y_Glucan,t3,68.1
5,Y_Glucan,t3,62.9
6,Y_Glucan,t3,48.8
7,Y_Glucan,t3,65.5
8,Y_Glucan,t3,38.5
1,Control,t4,88.7
2,Control,t4,86.1
3,Control,t4,78.4
4,Control,t4,104
5,Control,t4,68.1
6,Control,t4,80.9
7,Control,t4,77.1
8,Control,t4,149
1,Y_Glucan,t4,104
2,Y_Glucan,t4,95.1
3,Y_Glucan,t4,
4,Y_Glucan,t4,79.6
5,Y_Glucan,t4,53.9
6,Y_Glucan,t4,66.8
7,Y_Glucan,t4,152
8,Y_Glucan,t4,71.9
