id,group,time,score
1,Control,t1,0.27
2,Control,t1,0.91
3,Control,t1,0.24
4,Control,t1,0.63
5,Control,t1,0.14
6,Control,t1,1.1
7,Control,t1,0.15
8,Control,t1,0.61
1,Y_Glucan,t1,0.37
2,Y_Glucan,t1,0.55
3,Y_Glucan,t1,0.14
4,Y_Glucan,t1,0.56
5,Y_Glucan,t1,0.078
6,Y_Glucan,t1,0.064
7,Y_Glucan,t1,
8,Y_Glucan,t1,1.04
1,Control,t2,0.13
2,Control,t2,0.13
3,Control,t2,0.33
4,Control,t2,0.15
5,Control,t2,0.092
6,Control,t2,0.16
7,Control,t2,0.062
8,Control,t2,0.1
1,Y_Glucan,t2,0.045
2,Y_Glucan,t2,0.29
3,Y_Glucan,t2,0.1
4,Y_Glucan,t2,0.22
5,Y_Glucan,t2,0.1
6,Y_Glucan,t2,0.18
7,Y_Glucan,t2,0.14
8,Y_Glucan,t2,0.25
1,Control,t3,0.097
2,Control,t3,0.099
3,Control,t3,0.076
4,Control,t3,0.1
5,Control,t3,0.11
6,Control,t3,0.13
7,Control,t3,0.087
8,Control,t3,0.11
1,Y_Glucan,t3,0.076
2,Y_Glucan,t3,0.16
3,Y_Glucan,t3,0.066
4,Y_Glucan,t3,0.085
5,Y_Glucan,t3,0.082
6,Y_Glucan,t3,0.095
7,Y_Glucan,t3,0.13
8,Y_Glucan,t3,0.12
1,Control,t4,0.2
2,Control,t4,0.13
3,Control,t4,0.2
4,Control,t4,0.17
5,Control,t4,0.29
6,Control,t4,0.22
7,Control,t4,0.23
8,Control,t4,0.16
1,Y_Glucan,t4,0.2
2,Y_Glucan,t4,0.11
3,Y_Glucan,t4,
4,Y_Glucan,t4,0.11
5,Y_Glucan,t4,0.18
6,Y_Glucan,t4,0.2
7,Y_Glucan,t4,0.2
8,Y_Glucan,t4,0.17
