id,group,time,score
1,Control,t1,0.336459734
2,Control,t1,0.685741739
3,Control,t1,-0.161150909
4,Control,t1,0.484299839
5,Control,t1,-0.568636236
6,Control,t1,0.10720997
7,Control,t1,-0.443697499
8,Control,t1,0.432969291
1,Y_Glucan,t1,0.158362492
2,Y_Glucan,t1,0.326335861
3,Y_Glucan,t1,0.033423755
4,Y_Glucan,t1,0.161368002
5,Y_Glucan,t1,-0.657577319
6,Y_Glucan,t1,-0.337242168
7,Y_Glucan,t1,
8,Y_Glucan,t1,0.178976947
1,Control,t2,-0.537602002
2,Control,t2,0.049218023
3,Control,t2,0.130333768
4,Control,t2,-0.161150909
5,Control,t2,-0.045757491
6,Control,t2,0.100370545
7,Control,t2,-0.036212173
8,Control,t2,-0.142667504
1,Y_Glucan,t2,-0.920818754
2,Y_Glucan,t2,0.250420002
3,Y_Glucan,t2,-0.15490196
4,Y_Glucan,t2,0.079181246
5,Y_Glucan,t2,-0.30980392
6,Y_Glucan,t2,-0.013228266
7,Y_Glucan,t2,-0.283996656
8,Y_Glucan,t2,0.033423755
1,Control,t3,-0.214670165
2,Control,t3,-0.119186408
3,Control,t3,-0.050609993
4,Control,t3,-0.167491087
5,Control,t3,-0.193820026
6,Control,t3,-0.142667504
7,Control,t3,-0.207608311
8,Control,t3,-0.173925197
1,Y_Glucan,t3,-0.346787486
2,Y_Glucan,t3,0.089905111
3,Y_Glucan,t3,-0.37675071
4,Y_Glucan,t3,-0.113509275
5,Y_Glucan,t3,-0.795880017
6,Y_Glucan,t3,-0.301029996
7,Y_Glucan,t3,-0.200659451
8,Y_Glucan,t3,0.11058971
1,Control,t4,-0.080921908
2,Control,t4,-0.443697499
3,Control,t4,0.037426498
4,Control,t4,0.025305865
5,Control,t4,0.025305865
6,Control,t4,-0.086186148
7,Control,t4,-0.080921908
8,Control,t4,-0.431798276
1,Y_Glucan,t4,-0.698970004
2,Y_Glucan,t4,-0.200659451
3,Y_Glucan,t4,
4,Y_Glucan,t4,-0.180456064
5,Y_Glucan,t4,-0.045757491
6,Y_Glucan,t4,-0.124938737
7,Y_Glucan,t4,-0.327902142
8,Y_Glucan,t4,-0.102372909
