id,group,time,score
1,Control,t1,1.935003151
2,Control,t1,1.995635195
3,Control,t1,2.130333768
4,Control,t1,1.894316063
5,Control,t1,2.008600172
6,Control,t1,2.064457989
7,Control,t1,1.935003151
8,Control,t1,1.935003151
1,Y_Glucan,t1,1.94792362
2,Y_Glucan,t1,2.181843588
3,Y_Glucan,t1,2.021189299
4,Y_Glucan,t1,1.879669206
5,Y_Glucan,t1,2.064457989
6,Y_Glucan,t1,1.989894564
7,Y_Glucan,t1,
8,Y_Glucan,t1,2.204119983
1,Control,t2,1.761927838
2,Control,t2,1.789580712
3,Control,t2,1.789580712
4,Control,t2,1.807535028
5,Control,t2,1.928395852
6,Control,t2,1.887054378
7,Control,t2,1.914871818
8,Control,t2,1.85672889
1,Y_Glucan,t2,1.752048448
2,Y_Glucan,t2,1.613841822
3,Y_Glucan,t2,1.84135947
4,Y_Glucan,t2,1.752048448
5,Y_Glucan,t2,1.789580712
6,Y_Glucan,t2,1.781036939
7,Y_Glucan,t2,1.84135947
8,Y_Glucan,t2,
1,Control,t3,1.613841822
2,Control,t3,1.67669361
3,Control,t3,1.741939078
4,Control,t3,1.688419822
5,Control,t3,1.599883072
6,Control,t3,1.752048448
7,Control,t3,1.67669361
8,Control,t3,1.664641976
1,Y_Glucan,t3,1.57054294
2,Y_Glucan,t3,1.540329475
3,Y_Glucan,t3,1.627365857
4,Y_Glucan,t3,1.540329475
5,Y_Glucan,t3,1.639486489
6,Y_Glucan,t3,1.84135947
7,Y_Glucan,t3,1.761927838
8,Y_Glucan,t3,1.789580712
1,Control,t4,1.688419822
2,Control,t4,1.710963119
3,Control,t4,1.67669361
4,Control,t4,1.710963119
5,Control,t4,1.864511081
6,Control,t4,1.8162413
7,Control,t4,1.85672889
8,Control,t4,1.8162413
1,Y_Glucan,t4,1.833147112
2,Y_Glucan,t4,1.652246341
3,Y_Glucan,t4,2.139879086
4,Y_Glucan,t4,1.555094449
5,Y_Glucan,t4,1.555094449
6,Y_Glucan,t4,1.864511081
7,Y_Glucan,t4,1.731588765
8,Y_Glucan,t4,1.824776462
