id,group,time,score
1,Control,t1,29.1
2,Control,t1,25
3,Control,t1,20.5
4,Control,t1,47.1
5,Control,t1,7.32
6,Control,t1,8.11
7,Control,t1,20.7
8,Control,t1,21.7
1,Y_glucan,t1,39.3
2,Y_glucan,t1,13.2
3,Y_glucan,t1,21.3
4,Y_glucan,t1,36
5,Y_glucan,t1,8.48
6,Y_glucan,t1,9.99
7,Y_glucan,t1,21
8,Y_glucan,t1,20.1
1,Control,t2,44.4
2,Control,t2,57.4
3,Control,t2,50.8
4,Control,t2,54.9
5,Control,t2,48.2
6,Control,t2,50.1
7,Control,t2,29.2
8,Control,t2,39.2
1,Y_glucan,t2,41.3
2,Y_glucan,t2,51.8
3,Y_glucan,t2,49
4,Y_glucan,t2,36.9
5,Y_glucan,t2,38.2
6,Y_glucan,t2,36.8
7,Y_glucan,t2,49.3
8,Y_glucan,t2,34
1,Control,t3,32.1
2,Control,t3,43.3
3,Control,t3,49.9
4,Control,t3,41.3
5,Control,t3,55.3
6,Control,t3,36
7,Control,t3,43.6
8,Control,t3,42
1,Y_glucan,t3,45.9
2,Y_glucan,t3,43.6
3,Y_glucan,t3,
4,Y_glucan,t3,28.8
5,Y_glucan,t3,26
6,Y_glucan,t3,32.6
7,Y_glucan,t3,45.7
8,Y_glucan,t3,43.4
1,Control,t4,38.8
2,Control,t4,80.3
3,Control,t4,88
4,Control,t4,63.3
5,Control,t4,67.9
6,Control,t4,39.3
7,Control,t4,66
8,Control,t4,58.3
1,Y_glucan,t4,51.5
2,Y_glucan,t4,63.7
3,Y_glucan,t4,51.1
4,Y_glucan,t4,79.8
5,Y_glucan,t4,33.7
6,Y_glucan,t4,50.5
7,Y_glucan,t4,51
8,Y_glucan,t4,63.4
