id,group,time,score
1,Control,t1,1.252853031
2,Control,t1,1.222716471
3,Control,t1,1.11058971
4,Control,t1,1.206825876
5,Control,t1,1.488550717
6,Control,t1,1.206825876
7,Control,t1,1.045322979
8,Control,t1,1.161368002
1,Y_glucan,t1,1.136720567
2,Y_glucan,t1,1.161368002
3,Y_glucan,t1,1.10720997
4,Y_glucan,t1,1.130333768
5,Y_glucan,t1,1.075546961
6,Y_glucan,t1,1.10720997
7,Y_glucan,t1,1.164352856
8,Y_glucan,t1,1.071882007
1,Control,t2,1.328379603
2,Control,t2,1.380211242
3,Control,t2,1.318063335
4,Control,t2,1.227886705
5,Control,t2,1.401400541
6,Control,t2,1.401400541
7,Control,t2,1.276461804
8,Control,t2,1.367355921
1,Y_glucan,t2,1.193124598
2,Y_glucan,t2,1.419955748
3,Y_glucan,t2,1.250420002
4,Y_glucan,t2,1.267171728
5,Y_glucan,t2,1.247973266
6,Y_glucan,t2,1.303196057
7,Y_glucan,t2,1.274157849
8,Y_glucan,t2,1.264817823
1,Control,t3,1.250420002
2,Control,t3,1.352182518
3,Control,t3,1.181843588
4,Control,t3,1.206825876
5,Control,t3,1.33243846
6,Control,t3,1.281033367
7,Control,t3,1.290034611
8,Control,t3,1.328379603
1,Y_glucan,t3,1.164352856
2,Y_glucan,t3,1.193124598
3,Y_glucan,t3,1.635483747
4,Y_glucan,t3,1.086359831
5,Y_glucan,t3,1.08278537
6,Y_glucan,t3,1.243038049
7,Y_glucan,t3,1.158362492
8,Y_glucan,t3,1.235528447
1,Control,t4,1.334453751
2,Control,t4,1.537819095
3,Control,t4,1.635483747
4,Control,t4,1.541579244
5,Control,t4,1.495544338
6,Control,t4,1.387389826
7,Control,t4,1.604226053
8,Control,t4,1.44870632
1,Y_glucan,t4,1.252853031
2,Y_glucan,t4,1.591064607
3,Y_glucan,t4,1.348304863
4,Y_glucan,t4,1.5289167
5,Y_glucan,t4,1.201397124
6,Y_glucan,t4,1.350248018
7,Y_glucan,t4,1.267171728
8,Y_glucan,t4,1.657055853
