id,group,time,score
1,Control,t1,12.7
2,Control,t1,19.2
3,Control,t1,31.3
4,Control,t1,15.5
5,Control,t1,6.2
6,Control,t1,13.7
7,Control,t1,19.4
8,Control,t1,14.2
1,Y_glucan,t1,24
2,Y_glucan,t1,15.1
3,Y_glucan,t1,26.8
4,Y_glucan,t1,25.1
5,Y_glucan,t1,13
6,Y_glucan,t1,20.7
7,Y_glucan,t1,28.4
8,Y_glucan,t1,23.7
1,Control,t2,69.7
2,Control,t2,71.6
3,Control,t2,70
4,Control,t2,65.4
5,Control,t2,65.4
6,Control,t2,74.5
7,Control,t2,59.4
8,Control,t2,76.3
1,Y_glucan,t2,67
2,Y_glucan,t2,66.5
3,Y_glucan,t2,72.7
4,Y_glucan,t2,60.2
5,Y_glucan,t2,68.7
6,Y_glucan,t2,60.8
7,Y_glucan,t2,80.7
8,Y_glucan,t2,53.8
1,Control,t3,55.9
2,Control,t3,60.7
3,Control,t3,50.9
4,Control,t3,50.6
5,Control,t3,66.9
6,Control,t3,56.1
7,Control,t3,53.3
8,Control,t3,53
1,Y_glucan,t3,63.6
2,Y_glucan,t3,56.9
3,Y_glucan,t3,49.1
4,Y_glucan,t3,40.1
5,Y_glucan,t3,55.2
6,Y_glucan,t3,57
7,Y_glucan,t3,67.4
8,Y_glucan,t3,60.2
1,Control,t4,61.5
2,Control,t4,94.3
3,Control,t4,93.4
4,Control,t4,65.9
5,Control,t4,65.9
6,Control,t4,60.1
7,Control,t4,67.6
8,Control,t4,81.9
1,Y_glucan,t4,64.8
2,Y_glucan,t4,58.8
3,Y_glucan,t4,54.1
4,Y_glucan,t4,92.5
5,Y_glucan,t4,58.3
6,Y_glucan,t4,58.5
7,Y_glucan,t4,68
8,Y_glucan,t4,63.7
