id,group,time,score
1,Control,t1,1.103803721
2,Control,t1,1.283301229
3,Control,t1,1.495544338
4,Control,t1,1.190331698
5,Control,t1,0.792391689
6,Control,t1,1.136720567
7,Control,t1,1.28780173
8,Control,t1,1.152288344
1,Y_glucan,t1,1.380211242
2,Y_glucan,t1,1.178976947
3,Y_glucan,t1,1.428134794
4,Y_glucan,t1,1.399673721
5,Y_glucan,t1,1.113943352
6,Y_glucan,t1,1.315970345
7,Y_glucan,t1,1.45331834
8,Y_glucan,t1,1.374748346
1,Control,t2,1.843232778
2,Control,t2,1.854913022
3,Control,t2,1.84509804
4,Control,t2,1.815577748
5,Control,t2,1.815577748
6,Control,t2,1.872156273
7,Control,t2,1.773786445
8,Control,t2,1.882524538
1,Y_glucan,t2,1.826074803
2,Y_glucan,t2,1.822821645
3,Y_glucan,t2,1.861534411
4,Y_glucan,t2,1.779596491
5,Y_glucan,t2,1.836956737
6,Y_glucan,t2,1.783903579
7,Y_glucan,t2,1.906873535
8,Y_glucan,t2,1.730782276
1,Control,t3,1.747411808
2,Control,t3,1.783188691
3,Control,t3,1.706717782
4,Control,t3,1.704150517
5,Control,t3,1.825426118
6,Control,t3,1.748962861
7,Control,t3,1.726727209
8,Control,t3,1.72427587
1,Y_glucan,t3,1.803457116
2,Y_glucan,t3,1.755112266
3,Y_glucan,t3,1.691081492
4,Y_glucan,t3,1.603144373
5,Y_glucan,t3,1.741939078
6,Y_glucan,t3,1.755874856
7,Y_glucan,t3,1.828659897
8,Y_glucan,t3,1.779596491
1,Control,t4,1.788875116
2,Control,t4,1.974511693
3,Control,t4,1.970346876
4,Control,t4,1.818885415
5,Control,t4,1.818885415
6,Control,t4,1.778874472
7,Control,t4,1.829946696
8,Control,t4,1.913283902
1,Y_glucan,t4,1.811575006
2,Y_glucan,t4,1.769377326
3,Y_glucan,t4,1.733197265
4,Y_glucan,t4,1.966141733
5,Y_glucan,t4,1.765668555
6,Y_glucan,t4,1.767155866
7,Y_glucan,t4,1.832508913
8,Y_glucan,t4,1.804139432
