id,group,time,score
1,Control,t1,23
2,Control,t1,8.04
3,Control,t1,6.42
4,Control,t1,29.9
5,Control,t1,16.9
6,Control,t1,2.98
7,Control,t1,11.2
8,Control,t1,11.7
1,Y_glucan,t1,11.9
2,Y_glucan,t1,10.5
3,Y_glucan,t1,7.47
4,Y_glucan,t1,19.4
5,Y_glucan,t1,3.09
6,Y_glucan,t1,4.26
7,Y_glucan,t1,6.89
8,Y_glucan,t1,10.2
1,Control,t2,3.96
2,Control,t2,6.3
3,Control,t2,3.24
4,Control,t2,4.37
5,Control,t2,4.26
6,Control,t2,4.15
7,Control,t2,2.77
8,Control,t2,3.13
1,Y_glucan,t2,5.32
2,Y_glucan,t2,12
3,Y_glucan,t2,10.6
4,Y_glucan,t2,5.78
5,Y_glucan,t2,2.75
6,Y_glucan,t2,1.73
7,Y_glucan,t2,2.68
8,Y_glucan,t2,4.91
1,Control,t3,10.8
2,Control,t3,13.4
3,Control,t3,11.5
4,Control,t3,13.8
5,Control,t3,17.8
6,Control,t3,11.8
7,Control,t3,14.6
8,Control,t3,7.84
1,Y_glucan,t3,14.8
2,Y_glucan,t3,19.5
3,Y_glucan,t3,17.6
4,Y_glucan,t3,9.35
5,Y_glucan,t3,2.38
6,Y_glucan,t3,2.95
7,Y_glucan,t3,6.35
8,Y_glucan,t3,8.24
1,Control,t4,10.2
2,Control,t4,47.5
3,Control,t4,38.4
4,Control,t4,31.6
5,Control,t4,20.8
6,Control,t4,13.2
7,Control,t4,16.4
8,Control,t4,11.4
1,Y_glucan,t4,15.8
2,Y_glucan,t4,26.5
3,Y_glucan,t4,24.3
4,Y_glucan,t4,27.9
5,Y_glucan,t4,6.36
6,Y_glucan,t4,8.81
7,Y_glucan,t4,8.99
8,Y_glucan,t4,10.5
