id,group,time,score
1,Control,t1,1.387389826
2,Control,t1,1.523746467
3,Control,t1,1.540329475
4,Control,t1,1.555094449
5,Control,t1,1.469822016
6,Control,t1,1.627365857
7,Control,t1,1.409933123
8,Control,t1,1.450249108
1,Y_glucan,t1,1.506505032
2,Y_glucan,t1,1.58546073
3,Y_glucan,t1,1.431363764
4,Y_glucan,t1,1.409933123
5,Y_glucan,t1,1.523746467
6,Y_glucan,t1,1.469822016
7,Y_glucan,t1,1.752048448
8,Y_glucan,t1,1.523746467
1,Control,t2,1.311753861
2,Control,t2,1.409933123
3,Control,t2,1.338456494
4,Control,t2,1.431363764
5,Control,t2,1.338456494
6,Control,t2,1.285557309
7,Control,t2,1.222716471
8,Control,t2,1.311753861
1,Y_glucan,t2,1.409933123
2,Y_glucan,t2,1.338456494
3,Y_glucan,t2,1.285557309
4,Y_glucan,t2,1.36361198
5,Y_glucan,t2,1.255272505
6,Y_glucan,t2,1.450249108
7,Y_glucan,t2,1.311753861
8,Y_glucan,t2,1.285557309
1,Control,t3,1.338456494
2,Control,t3,1.338456494
3,Control,t3,1.36361198
4,Control,t3,1.409933123
5,Control,t3,1.387389826
6,Control,t3,1.311753861
7,Control,t3,1.311753861
8,Control,t3,1.255272505
1,Y_glucan,t3,1.387389826
2,Y_glucan,t3,1.338456494
3,Y_glucan,t3,1.222716471
4,Y_glucan,t3,1.387389826
5,Y_glucan,t3,1.387389826
6,Y_glucan,t3,1.506505032
7,Y_glucan,t3,1.222716471
8,Y_glucan,t3,1.409933123
1,Control,t4,1.431363764
2,Control,t4,1.431363764
3,Control,t4,1.469822016
4,Control,t4,1.311753861
5,Control,t4,1.387389826
6,Control,t4,1.506505032
7,Control,t4,1.255272505
8,Control,t4,1.255272505
1,Y_glucan,t4,1.469822016
2,Y_glucan,t4,1.222716471
3,Y_glucan,t4,1.409933123
4,Y_glucan,t4,1.338456494
5,Y_glucan,t4,1.338456494
6,Y_glucan,t4,1.450249108
7,Y_glucan,t4,1.338456494
8,Y_glucan,t4,1.311753861
