id,group,time,score
1,Control,t1,29.2
2,Control,t1,25.3
3,Control,t1,13.3
4,Control,t1,55.5
5,Control,t1,3.18
6,Control,t1,2.68
7,Control,t1,32.9
8,Control,t1,18.2
1,Y_glucan,t1,32.9
2,Y_glucan,t1,9.56
3,Y_glucan,t1,10.7
4,Y_glucan,t1,18.6
5,Y_glucan,t1,5.24
6,Y_glucan,t1,3.01
7,Y_glucan,t1,4.16
8,Y_glucan,t1,21.3
1,Control,t2,71
2,Control,t2,52.2
3,Control,t2,40.4
4,Control,t2,49.5
5,Control,t2,39.2
6,Control,t2,44.9
7,Control,t2,25.4
8,Control,t2,41.3
1,Y_glucan,t2,34.1
2,Y_glucan,t2,26.8
3,Y_glucan,t2,33.9
4,Y_glucan,t2,36.1
5,Y_glucan,t2,25
6,Y_glucan,t2,25.8
7,Y_glucan,t2,32.6
8,Y_glucan,t2,14.9
1,Control,t3,27.8
2,Control,t3,23.6
3,Control,t3,35.5
4,Control,t3,36.6
5,Control,t3,41.9
6,Control,t3,17.6
7,Control,t3,24.7
8,Control,t3,23.8
1,Y_glucan,t3,29.5
2,Y_glucan,t3,22.5
3,Y_glucan,t3,34.7
4,Y_glucan,t3,26.4
5,Y_glucan,t3,29.7
6,Y_glucan,t3,32.6
7,Y_glucan,t3,28.3
8,Y_glucan,t3,27.6
1,Control,t4,26.8
2,Control,t4,52.9
3,Control,t4,75.1
4,Control,t4,33.4
5,Control,t4,41.8
6,Control,t4,34.6
7,Control,t4,17.4
8,Control,t4,21.2
1,Y_glucan,t4,40
2,Y_glucan,t4,19.2
3,Y_glucan,t4,41.7
4,Y_glucan,t4,45.3
5,Y_glucan,t4,33.2
6,Y_glucan,t4,20.1
7,Y_glucan,t4,37.4
8,Y_glucan,t4,16.1
