id,group,time,score
1,Control,t1,10.7
2,Control,t1,15.7
3,Control,t1,20.1
4,Control,t1,29
5,Control,t1,31.2
6,Control,t1,7.2
7,Control,t1,3.64
8,Control,t1,7.77
1,Y_glucan,t1,26.3
2,Y_glucan,t1,17.2
3,Y_glucan,t1,7.19
4,Y_glucan,t1,17.5
5,Y_glucan,t1,15.1
6,Y_glucan,t1,9.63
7,Y_glucan,t1,7.63
8,Y_glucan,t1,10.5
1,Control,t2,21.8
2,Control,t2,22.5
3,Control,t2,25.9
4,Control,t2,16.4
5,Control,t2,5.15
6,Control,t2,6.55
7,Control,t2,7.02
8,Control,t2,28.6
1,Y_glucan,t2,9.92
2,Y_glucan,t2,4.28
3,Y_glucan,t2,8.3
4,Y_glucan,t2,12.3
5,Y_glucan,t2,4.34
6,Y_glucan,t2,12.3
7,Y_glucan,t2,13.8
8,Y_glucan,t2,7.57
1,Control,t3,8.73
2,Control,t3,6.79
3,Control,t3,11.5
4,Control,t3,11.2
5,Control,t3,7.86
6,Control,t3,5.62
7,Control,t3,4.85
8,Control,t3,14.9
1,Y_glucan,t3,3.84
2,Y_glucan,t3,4.27
3,Y_glucan,t3,10.9
4,Y_glucan,t3,5.97
5,Y_glucan,t3,5.63
6,Y_glucan,t3,13.7
7,Y_glucan,t3,2.91
8,Y_glucan,t3,8.18
1,Control,t4,7.54
2,Control,t4,28.1
3,Control,t4,29.2
4,Control,t4,9.59
5,Control,t4,3.67
6,Control,t4,7.33
7,Control,t4,11.4
8,Control,t4,18.7
1,Y_glucan,t4,10.9
2,Y_glucan,t4,18.5
3,Y_glucan,t4,1.89
4,Y_glucan,t4,25.1
5,Y_glucan,t4,3.42
6,Y_glucan,t4,17.8
7,Y_glucan,t4,3.19
8,Y_glucan,t4,19.4
