id,group,time,score
1,Control,t1,7.51
2,Control,t1,8.38
3,Control,t1,5.54
4,Control,t1,12
5,Control,t1,1
6,Control,t1,2.08
7,Control,t1,5.07
8,Control,t1,4.74
1,Y_glucan,t1,12.1
2,Y_glucan,t1,3.1
3,Y_glucan,t1,6.82
4,Y_glucan,t1,11.1
5,Y_glucan,t1,2.87
6,Y_glucan,t1,1.87
7,Y_glucan,t1,3.3
8,Y_glucan,t1,4.6
1,Control,t2,32.3
2,Control,t2,33.7
3,Control,t2,29.3
4,Control,t2,39.5
5,Control,t2,21.4
6,Control,t2,30.7
7,Control,t2,23
8,Control,t2,20.5
1,Y_glucan,t2,28.9
2,Y_glucan,t2,23.4
3,Y_glucan,t2,21.8
4,Y_glucan,t2,25.2
5,Y_glucan,t2,24.7
6,Y_glucan,t2,20.7
7,Y_glucan,t2,22.5
8,Y_glucan,t2,12.1
1,Control,t3,20.2
2,Control,t3,19.9
3,Control,t3,16.1
4,Control,t3,14.1
5,Control,t3,16.7
6,Control,t3,21.5
7,Control,t3,13.7
8,Control,t3,9.76
1,Y_glucan,t3,22.9
2,Y_glucan,t3,14.3
3,Y_glucan,t3,17.2
4,Y_glucan,t3,12.6
5,Y_glucan,t3,18.9
6,Y_glucan,t3,13.7
7,Y_glucan,t3,15.8
8,Y_glucan,t3,12.6
1,Control,t4,26
2,Control,t4,32
3,Control,t4,26.1
4,Control,t4,28.8
5,Control,t4,24.1
6,Control,t4,24.5
7,Control,t4,29.5
8,Control,t4,19
1,Y_glucan,t4,27.8
2,Y_glucan,t4,30
3,Y_glucan,t4,23
4,Y_glucan,t4,24.7
5,Y_glucan,t4,18.7
6,Y_glucan,t4,23.9
7,Y_glucan,t4,20.2
8,Y_glucan,t4,19.1
