id,group,time,score
1,Control,t1,39.3
2,Control,t1,28.7
3,Control,t1,38.7
4,Control,t1,21.7
5,Control,t1,34.9
6,Control,t1,33.9
7,Control,t1,38
8,Control,t1,57.9
1,Y_glucan,t1,43.5
2,Y_glucan,t1,37.2
3,Y_glucan,t1,24.5
4,Y_glucan,t1,38.1
5,Y_glucan,t1,28.8
6,Y_glucan,t1,54.2
7,Y_glucan,t1,20.3
8,Y_glucan,t1,56.6
1,Control,t2,20.2
2,Control,t2,24.6
3,Control,t2,32.1
4,Control,t2,18.5
5,Control,t2,25.1
6,Control,t2,30.1
7,Control,t2,36.2
8,Control,t2,38.2
1,Y_glucan,t2,36.5
2,Y_glucan,t2,29.2
3,Y_glucan,t2,20.4
4,Y_glucan,t2,24.1
5,Y_glucan,t2,37.6
6,Y_glucan,t2,49
7,Y_glucan,t2,24.2
8,Y_glucan,t2,29.5
1,Control,t3,40
2,Control,t3,37.6
3,Control,t3,57.6
4,Control,t3,32.1
5,Control,t3,39.2
6,Control,t3,43.5
7,Control,t3,48.4
8,Control,t3,44.9
1,Y_glucan,t3,51.2
2,Y_glucan,t3,36.7
3,Y_glucan,t3,15.2
4,Y_glucan,t3,39.3
5,Y_glucan,t3,44
6,Y_glucan,t3,46
7,Y_glucan,t3,25.7
8,Y_glucan,t3,37
1,Control,t4,47.1
2,Control,t4,32.2
3,Control,t4,38.6
4,Control,t4,25.4
5,Control,t4,41.2
6,Control,t4,49.8
7,Control,t4,43.6
8,Control,t4,35.6
1,Y_glucan,t4,53.3
2,Y_glucan,t4,47.1
3,Y_glucan,t4,34.9
4,Y_glucan,t4,46.2
5,Y_glucan,t4,55.3
6,Y_glucan,t4,65.5
7,Y_glucan,t4,34
8,Y_glucan,t4,29.9
