id,group,time,score
1,Control,t1,0.901458321
2,Control,t1,1.056904851
3,Control,t1,1.06069784
4,Control,t1,1.029383778
5,Control,t1,0.575187845
6,Control,t1,0.636487896
7,Control,t1,0.824776462
8,Control,t1,0.762678564
1,Y_glucan,t1,1.096910013
2,Y_glucan,t1,0.838849091
3,Y_glucan,t1,0.992553518
4,Y_glucan,t1,1.136720567
5,Y_glucan,t1,0.699837726
6,Y_glucan,t1,0.810232518
7,Y_glucan,t1,0.943494516
8,Y_glucan,t1,0.989894564
1,Control,t2,1.376576957
2,Control,t2,1.475671188
3,Control,t2,1.372912003
4,Control,t2,1.431363764
5,Control,t2,1.372912003
6,Control,t2,1.392696953
7,Control,t2,1.322219295
8,Control,t2,1.311753861
1,Y_glucan,t2,1.382017043
2,Y_glucan,t2,
3,Y_glucan,t2,1.369215857
4,Y_glucan,t2,1.390935107
5,Y_glucan,t2,1.294466226
6,Y_glucan,t2,1.303196057
7,Y_glucan,t2,1.396199347
8,Y_glucan,t2,1.365487985
1,Control,t3,1.432969291
2,Control,t3,1.475671188
3,Control,t3,1.45484486
4,Control,t3,1.414973348
5,Control,t3,1.51851394
6,Control,t3,1.445604203
7,Control,t3,1.501059262
8,Control,t3,1.365487985
1,Y_glucan,t3,1.539076099
2,Y_glucan,t3,1.59439255
3,Y_glucan,t3,1.45484486
4,Y_glucan,t3,1.245512668
5,Y_glucan,t3,1.31386722
6,Y_glucan,t3,1.338456494
7,Y_glucan,t3,1.447158031
8,Y_glucan,t3,1.460897843
1,Control,t4,1.462397998
2,Control,t4,1.829946696
3,Control,t4,1.843232778
4,Control,t4,1.631443769
5,Control,t4,1.563481085
6,Control,t4,1.489958479
7,Control,t4,1.568201724
8,Control,t4,1.44870632
1,Y_glucan,t4,1.539076099
2,Y_glucan,t4,1.669316881
3,Y_glucan,t4,1.505149978
4,Y_glucan,t4,1.783188691
5,Y_glucan,t4,1.428134794
6,Y_glucan,t4,1.491361694
7,Y_glucan,t4,1.527629901
8,Y_glucan,t4,1.503790683
