id,group,time,score
1,Control,t1,63.4
2,Control,t1,59.5
3,Control,t1,66.6
4,Control,t1,63.1
5,Control,t1,44.4
6,Control,t1,58.1
7,Control,t1,70
8,Control,t1,53.8
1,Y_glucan,t1,57.4
2,Y_glucan,t1,45.9
3,Y_glucan,t1,65.8
4,Y_glucan,t1,59.5
5,Y_glucan,t1,68.6
6,Y_glucan,t1,56.6
7,Y_glucan,t1,68.2
8,Y_glucan,t1,52.4
1,Control,t2,65.8
2,Control,t2,60.3
3,Control,t2,62.7
4,Control,t2,69
5,Control,t2,58.8
6,Control,t2,59.5
7,Control,t2,65.3
8,Control,t2,61.9
1,Y_glucan,t2,69.8
2,Y_glucan,t2,49.2
3,Y_glucan,t2,66.8
4,Y_glucan,t2,70.5
5,Y_glucan,t2,65
6,Y_glucan,t2,60.4
7,Y_glucan,t2,65.4
8,Y_glucan,t2,64.3
1,Control,t3,62.8
2,Control,t3,59.7
3,Control,t3,64.6
4,Control,t3,69.7
5,Control,t3,58.8
6,Control,t3,64.6
7,Control,t3,50.4
8,Control,t3,59.6
1,Y_glucan,t3,63.3
2,Y_glucan,t3,64.5
3,Y_glucan,t3,
4,Y_glucan,t3,74.4
5,Y_glucan,t3,65.8
6,Y_glucan,t3,62.7
7,Y_glucan,t3,68.2
8,Y_glucan,t3,66.7
1,Control,t4,58.3
2,Control,t4,51.6
3,Control,t4,42.6
4,Control,t4,51.8
5,Control,t4,50.8
6,Control,t4,58.6
7,Control,t4,34.5
8,Control,t4,57.4
1,Y_glucan,t4,60.2
2,Y_glucan,t4,33.1
3,Y_glucan,t4,56.9
4,Y_glucan,t4,36.1
5,Y_glucan,t4,57.4
6,Y_glucan,t4,51.8
7,Y_glucan,t4,60.3
8,Y_glucan,t4,38.2
