id,group,time,score
1,Control,t1,8.2
2,Control,t1,4.6
3,Control,t1,3.8
4,Control,t1,4.16
5,Control,t1,7.12
6,Control,t1,6.32
7,Control,t1,5.42
8,Control,t1,11.4
1,Y_glucan,t1,11.1
2,Y_glucan,t1,7.96
3,Y_glucan,t1,4.99
4,Y_glucan,t1,8.04
5,Y_glucan,t1,5.41
6,Y_glucan,t1,7.81
7,Y_glucan,t1,6.78
8,Y_glucan,t1,6.8
1,Control,t2,7.92
2,Control,t2,12.1
3,Control,t2,7.13
4,Control,t2,8.93
5,Control,t2,10.1
6,Control,t2,10.1
7,Control,t2,8.75
8,Control,t2,10.2
1,Y_glucan,t2,9.39
2,Y_glucan,t2,13.6
3,Y_glucan,t2,7.89
4,Y_glucan,t2,9.38
5,Y_glucan,t2,8.8
6,Y_glucan,t2,10.3
7,Y_glucan,t2,7.19
8,Y_glucan,t2,13.4
1,Control,t3,8.53
2,Control,t3,9.03
3,Control,t3,9.01
4,Control,t3,6.86
5,Control,t3,9.96
6,Control,t3,8.1
7,Control,t3,9.81
8,Control,t3,10.5
1,Y_glucan,t3,10.4
2,Y_glucan,t3,9.11
3,Y_glucan,t3,6.12
4,Y_glucan,t3,6.6
5,Y_glucan,t3,6.81
6,Y_glucan,t3,8.37
7,Y_glucan,t3,7.27
8,Y_glucan,t3,8.98
1,Control,t4,9.02
2,Control,t4,6.02
3,Control,t4,4.74
4,Control,t4,6.21
5,Control,t4,9.88
6,Control,t4,9.58
7,Control,t4,9.47
8,Control,t4,7.65
1,Y_glucan,t4,9.81
2,Y_glucan,t4,12.1
3,Y_glucan,t4,5.76
4,Y_glucan,t4,5.1
5,Y_glucan,t4,8.5
6,Y_glucan,t4,11.8
7,Y_glucan,t4,8.58
8,Y_glucan,t4,10.8
