id ,group,time ,score
1,Control,t1,14.6615
2,Control,t1,20.566
3,Control,t1,7.63
4,Control,t1,168.9695
5,Control,t1,85.869
6,Control,t1,377.1915
7,Control,t1,194.957
8,Control,t1,95.795
1,Control,t2,112.6895
2,Control,t2,521.3565
3,Control,t2,13.8425
4,Control,t2,159.7365
5,Control,t2,135.226
6,Control,t2,535.815
7,Control,t2,760.655
8,Control,t2,102.0915
1,Control,t3,229.831
2,Control,t3,104.958
3,Control,t3,31.262
4,Control,t3,114.933
5,Control,t3,32.8615
6,Control,t3,43.386
7,Control,t3,418.866
8,Control,t3,189.049
1,Y_glucan,t1,200.151
2,Y_glucan,t1,33.9745
3,Y_glucan,t1,94.6365
4,Y_glucan,t1,344.3685
5,Y_glucan,t1,
6,Y_glucan,t1,384.4295
7,Y_glucan,t1,274.799
8,Y_glucan,t1,103.2045
1,Y_glucan,t2,171.437
2,Y_glucan,t2,602.5495
3,Y_glucan,t2,733.4845
4,Y_glucan,t2,22.05
5,Y_glucan,t2,838.7435
6,Y_glucan,t2,354.354
7,Y_glucan,t2,376.1345
8,Y_glucan,t2,514.444
1,Y_glucan,t3,110.866
2,Y_glucan,t3,68.0995
3,Y_glucan,t3,27.3455
4,Y_glucan,t3,97.6815
5,Y_glucan,t3,92.491
6,Y_glucan,t3,133.238
7,Y_glucan,t3,154.9555
8,Y_glucan,t3,152.348
