id,group,time,score
1,Control,t1,458.0275
2,Control,t1,189.4585
3,Control,t1,84.3885
4,Control,t1,1375.1955
5,Control,t1,900.6445
6,Control,t1,900.2455
7,Control,t1,991.466
8,Control,t1,533.659
1,Y_glucan,t1,2230.711
2,Y_glucan,t1,777.3465
3,Y_glucan,t1,691.9395
4,Y_glucan,t1,1626.9155
5,Y_glucan,t1,
6,Y_glucan,t1,1289.407
7,Y_glucan,t1,920.5735
8,Y_glucan,t1,626.3845
1,Control,t2,1514.758
2,Control,t2,3280.2455
3,Control,t2,234.703
4,Control,t2,1909.4985
5,Control,t2,1452.1815
6,Control,t2,2552.9875
7,Control,t2,2851.576
8,Control,t2,1626.9365
1,Y_glucan,t2,816.557
2,Y_glucan,t2,2769.4205
3,Y_glucan,t2,1955.3205
4,Y_glucan,t2,442.05
5,Y_glucan,t2,2707.0785
6,Y_glucan,t2,1292.886
7,Y_glucan,t2,2082.402
8,Y_glucan,t2,3442.369
1,Control,t3,1106.798
2,Control,t3,710.563
3,Control,t3,719.271
4,Control,t3,
5,Control,t3,699.405
6,Control,t3,217.2485
7,Control,t3,422.618
8,Control,t3,555.821
1,Y_glucan,t3,1544.8335
2,Y_glucan,t3,380.9785
3,Y_glucan,t3,763.028
4,Y_glucan,t3,796.663
5,Y_glucan,t3,683.109
6,Y_glucan,t3,625.702
7,Y_glucan,t3,208.5475
8,Y_glucan,t3,477.7605
