id,group,time,score
1,Control,t1,3.6155
2,Control,t1,9.0475
3,Control,t1,9.4535
4,Control,t1,0
5,Control,t1,0
6,Control,t1,3.9865
7,Control,t1,17.787
8,Control,t1,18.368
1,Control,t2,16.772
2,Control,t2,12.5825
3,Control,t2,7.8785
4,Control,t2,8.036
5,Control,t2,13.7025
6,Control,t2,17.878
7,Control,t2,22.1515
8,Control,t2,7.2065
1,Control,t3,56.1575
2,Control,t3,5.705
3,Control,t3,13.4925
4,Control,t3,0
5,Control,t3,13.888
6,Control,t3,24.157
7,Control,t3,46.067
8,Control,t3,40.2675
1,Y_glucan,t1,21.8925
2,Y_glucan,t1,13.5065
3,Y_glucan,t1,28.0385
4,Y_glucan,t1,28.5425
5,Y_glucan,t1,
6,Y_glucan,t1,23.961
7,Y_glucan,t1,17.381
8,Y_glucan,t1,11.4625
1,Y_glucan,t2,4.8475
2,Y_glucan,t2,26.341
3,Y_glucan,t2,13.8565
4,Y_glucan,t2,3.4125
5,Y_glucan,t2,11.837
6,Y_glucan,t2,12.9535
7,Y_glucan,t2,13.328
8,Y_glucan,t2,36.1445
1,Y_glucan,t3,32.487
2,Y_glucan,t3,8.82
3,Y_glucan,t3,17.6295
4,Y_glucan,t3,16.184
5,Y_glucan,t3,43.127
6,Y_glucan,t3,0
7,Y_glucan,t3,60.1825
8,Y_glucan,t3,17.9445
