id,group,time,score
1,Control,t1,2.660891554
2,Control,t1,2.277514095
3,Control,t1,1.926283267
4,Control,t1,3.138364443
5,Control,t1,2.954553401
6,Control,t1,2.954360959
7,Control,t1,2.996277826
8,Control,t1,2.727263838
1,Y_glucan,t1,3.348443309
2,Y_glucan,t1,2.890614647
3,Y_glucan,t1,2.840068123
4,Y_glucan,t1,3.211364997
5,Y_glucan,t1,
6,Y_glucan,t1,3.110390024
7,Y_glucan,t1,2.964058469
8,Y_glucan,t1,2.796841002
1,Control_med,t1,-0.7000571
2,Control_med,t1,0.356981401
3,Control_med,t1,0.328328627
4,Control_med,t1,-1.715569266
5,Control_med,t1,0.432528362
6,Control_med,t1,0.545801757
7,Control_med,t1,1.003234278
8,Control_med,t1,1.152701034
1,Y_glucan_med,t1,0.717545688
2,Y_glucan_med,t1,0.364597893
3,Y_glucan_med,t1,0.990915755
4,Y_glucan_med,t1,1.089251413
5,Y_glucan_med,t1,
6,Y_glucan_med,t1,1.23590072
7,Y_glucan_med,t1,0.536400603
8,Y_glucan_med,t1,0.792163975
1,Control,t2,3.180343255
2,Control,t2,3.515906348
3,Control,t2,2.370518641
4,Control,t2,3.280919322
5,Control,t2,3.1620209
6,Control,t2,3.407048688
7,Control,t2,3.455084951
8,Control,t2,3.211370603
1,Y_glucan,t2,2.911986506
2,Y_glucan,t2,3.442388903
3,Y_glucan,t2,3.291217954
4,Y_glucan,t2,2.645471395
5,Y_glucan,t2,3.43250085
6,Y_glucan,t2,3.111560233
7,Y_glucan,t2,3.318564572
8,Y_glucan,t2,3.536857422
1,Control,t3,3.044068366
2,Control,t3,2.851602589
3,Control,t3,2.856892551
4,Control,t3,
5,Control,t3,2.844728733
6,Control,t3,2.336956787
7,Control,t3,2.62594799
8,Control,t3,2.744934951
1,Y_glucan,t3,3.188881679
2,Y_glucan,t3,2.580900468
3,Y_glucan,t3,2.882540475
4,Y_glucan,t3,2.901274647
5,Y_glucan,t3,2.834490007
6,Y_glucan,t3,2.796367543
7,Y_glucan,t3,2.319204988
8,Y_glucan,t3,2.679210241
