id,group,time,score
1,Y_glucan,t1,12.6
2,Y_glucan,t1,4.83
3,Y_glucan,t1,5.355
4,Y_glucan,t1,12.082
5,Y_glucan,t1,2.3415
6,Y_glucan,t1,19.9185
7,Y_glucan,t1,29.498
8,Y_glucan,t1,8.75
1,Y_glucan,t2,15.2005
2,Y_glucan,t2,27.7515
3,Y_glucan,t2,44.548
4,Y_glucan,t2,4.4065
5,Y_glucan,t2,31.6505
6,Y_glucan,t2,17.9725
7,Y_glucan,t2,18.872
8,Y_glucan,t2,9.919
1,Control,t1,4.151
2,Control,t1,3.073
3,Control,t1,1.5505
4,Control,t1,5.4635
5,Control,t1,10.4195
6,Control,t1,32.3995
7,Control,t1,18.6935
8,Control,t1,10.031
1,Control,t2,12.2045
2,Control,t2,20.6535
3,Control,t2,15.7325
4,Control,t2,17.3285
5,Control,t2,19.005
6,Control,t2,34.5485
7,Control,t2,35.6965
8,Control,t2,22.6835
