id,group,time,score
1,Y_glucan,t1,10.836
2,Y_glucan,t1,8.197
3,Y_glucan,t1,3.8955
4,Y_glucan,t1,4.9945
5,Y_glucan,t1,1.1235
6,Y_glucan,t1,15.3125
7,Y_glucan,t1,18.2105
8,Y_glucan,t1,5.285
1,Y_glucan,t2,6.195
2,Y_glucan,t2,12.5895
3,Y_glucan,t2,14.8085
4,Y_glucan,t2,4.676
5,Y_glucan,t2,16.9925
6,Y_glucan,t2,11.984
7,Y_glucan,t2,8.9075
8,Y_glucan,t2,8.232
1,Control,t1,2.464
2,Control,t1,1.9355
3,Control,t1,1.155
4,Control,t1,5.7995
5,Control,t1,5.817
6,Control,t1,9.7825
7,Control,t1,4.123
8,Control,t1,3.493
1,Control,t2,9.4535
2,Control,t2,15.4665
3,Control,t2,6.4155
4,Control,t2,15.4245
5,Control,t2,16.6355
6,Control,t2,27.8285
7,Control,t2,17.661
8,Control,t2,9.541
