id,group,time,score
1,Y_glucan,t1,1.442244528
2,Y_glucan,t1,1.199398602
3,Y_glucan,t1,1.048266963
4,Y_glucan,t1,1.344647666
5,Y_glucan,t1,0.369494162
6,Y_glucan,t1,1.485231505
7,Y_glucan,t1,1.760313142
8,Y_glucan,t1,1.11682351
1,Y_glucan,t2,1.544241727
2,Y_glucan,t2,1.528955245
3,Y_glucan,t2,1.897849679
4,Y_glucan,t2,0.985606083
5,Y_glucan,t2,1.756734973
6,Y_glucan,t2,1.546579676
7,Y_glucan,t2,1.648930562
8,Y_glucan,t2,1.251808499
1,Control,t1,0.912726757
2,Control,t1,0.91881639
3,Control,t1,0.543633533
4,Control,t1,0.924098292
5,Control,t1,1.333507729
6,Control,t1,1.854293894
7,Control,t1,1.555511606
8,Control,t1,1.189686783
1,Control,t2,1.226303401
2,Control,t2,1.492578813
3,Control,t2,1.233465707
4,Control,t2,1.538385197
5,Control,t2,1.359778584
6,Control,t2,1.648964674
7,Control,t2,1.840184537
8,Control,t2,1.548862155
