id,group,time,score
1,Control,t1,937.405
2,Control,t1,1249.675
3,Control,t1,1914.885
4,Control,t1,1125.39
5,Control,t1,921.795
6,Control,t1,1287.72
7,Control,t1,1115.66
8,Control,t1,471.555
1,Y_glucan,t1,185.5
2,Y_glucan,t1,413.455
3,Y_glucan,t1,431.445
4,Y_glucan,t1,499.835
5,Y_glucan,t1,1480.29
6,Y_glucan,t1,1265.215
7,Y_glucan,t1,8.575
8,Y_glucan,t1,704.305
1,Control,t2,973.105
2,Control,t2,1878.73
3,Control,t2,976.605
4,Control,t2,664.755
5,Control,t2,446.81
6,Control,t2,939.155
7,Control,t2,1335.159
8,Control,t2,1452.122
1,Y_glucan,t2,704.725
2,Y_glucan,t2,1596.945
3,Y_glucan,t2,548.73
4,Y_glucan,t2,970.585
5,Y_glucan,t2,588.98
6,Y_glucan,t2,386.575
7,Y_glucan,t2,746.179
8,Y_glucan,t2,1281.4655
1,Control,t3,1457.19
2,Control,t3,543.585
3,Control,t3,625.03
4,Control,t3,819.945
5,Control,t3,978.32
6,Control,t3,640.465
7,Control,t3,574.3115
8,Control,t3,586.0855
1,Y_glucan,t3,1266.545
2,Y_glucan,t3,505.68
3,Y_glucan,t3,692.405
4,Y_glucan,t3,347.83
5,Y_glucan,t3,803.145
6,Y_glucan,t3,801.85
7,Y_glucan,t3,518.2065
8,Y_glucan,t3,574.3885
