id,group,time,score
1,Control,t1,1975.82
2,Control,t1,3144.05
3,Control,t1,2310.875
4,Control,t1,2064.685
5,Control,t1,1969.065
6,Control,t1,6416.76
7,Control,t1,2162.93
8,Control,t1,4452.245
1,Y_glucan,t1,598.5
2,Y_glucan,t1,3906.035
3,Y_glucan,t1,2322.635
4,Y_glucan,t1,2364.39
5,Y_glucan,t1,1411.865
6,Y_glucan,t1,2186.135
7,Y_glucan,t1,402.15
8,Y_glucan,t1,4955.685
1,Control,t2,3525.095
2,Control,t2,4483.64
3,Control,t2,2064.23
4,Control,t2,2261.98
5,Control,t2,2307.62
6,Control,t2,4202.135
7,Control,t2,2604.462
8,Control,t2,5930.197
1,Y_glucan,t2,1750.63
2,Y_glucan,t2,4490.815
3,Y_glucan,t2,1956.99
4,Y_glucan,t2,4709.6
5,Y_glucan,t2,1801.94
6,Y_glucan,t2,2210.775
7,Y_glucan,t2,1571.01
8,Y_glucan,t2,4539.9445
1,Control,t3,2882.075
2,Control,t3,2562.455
3,Control,t3,1330.91
4,Control,t3,3426.29
5,Control,t3,2684.22
6,Control,t3,2417.73
7,Control,t3,4408.628
8,Control,t3,1500.5585
1,Y_glucan,t3,2864.54
2,Y_glucan,t3,1040.865
3,Y_glucan,t3,1243.41
4,Y_glucan,t3,1024.625
5,Y_glucan,t3,1392.44
6,Y_glucan,t3,3154.83
7,Y_glucan,t3,657.517
8,Y_glucan,t3,3190.25
