id,group,time,score
1,Control,t1,297.9725
2,Control,t1,313.8135
3,Control,t1,191.303
4,Control,t1,91.224
5,Control,t1,30.8245
6,Control,t1,113.0605
7,Control,t1,112.4725
8,Control,t1,113.0605
1,Y_glucan,t1,26.782
2,Y_glucan,t1,15.5365
3,Y_glucan,t1,49.0315
4,Y_glucan,t1,76.4365
5,Y_glucan,t1,41.237
6,Y_glucan,t1,98.861
7,Y_glucan,t1,55.426
8,Y_glucan,t1,35.105
1,Control_med,t1,13.65525
2,Control_med,t1,237.17925
3,Control_med,t1,63.03325
4,Control_med,t1,31.18325
5,Control_med,t1,53.32075
6,Control_med,t1,63.3815
7,Control_med,t1,0
8,Control_med,t1,63.3815
1,Y_glucan_med,t1,2.85775
2,Y_glucan_med,t1,1.8655
3,Y_glucan_med,t1,3.4055
4,Y_glucan_med,t1,5.50725
5,Y_glucan_med,t1,18.907
6,Y_glucan_med,t1,129.71525
7,Y_glucan_med,t1,0
8,Y_glucan_med,t1,45.5805
1,Control,t2,75.047
2,Control,t2,89.5545
3,Control,t2,39.249
4,Control,t2,161.532
5,Control,t2,38.255
6,Control,t2,49.8575
7,Control,t2,43.7815
8,Control,t2,93.912
1,Y_glucan,t2,100.9085
2,Y_glucan,t2,39.48
3,Y_glucan,t2,45.9025
4,Y_glucan,t2,91.469
5,Y_glucan,t2,209.5485
6,Y_glucan,t2,139.1425
7,Y_glucan,t2,370.0515
8,Y_glucan,t2,235.2035
1,Control,t3,45.535
2,Control,t3,162.876
3,Control,t3,127.386
4,Control,t3,912.212
5,Control,t3,94.787
6,Control,t3,496.65
7,Control,t3,62.23
8,Control,t3,728.938
1,Y_glucan,t3,34.538
2,Y_glucan,t3,102.5185
3,Y_glucan,t3,95.088
4,Y_glucan,t3,12.936
5,Y_glucan,t3,167.503
6,Y_glucan,t3,99.9565
7,Y_glucan,t3,167.503
8,Y_glucan,t3,99.9565
