id,group,time,score
1,Control,t1,117.5965
2,Control,t1,109.256
3,Control,t1,49.966
4,Control,t1,66.64
5,Control,t1,26.565
6,Control,t1,91.021
7,Control,t1,71.1655
8,Control,t1,91.021
1,Y_glucan,t1,30.352
2,Y_glucan,t1,24.724
3,Y_glucan,t1,55.209
4,Y_glucan,t1,45.521
5,Y_glucan,t1,40.145
6,Y_glucan,t1,79.961
7,Y_glucan,t1,52.15
8,Y_glucan,t1,152.642
1,Control,t2,169.7395
2,Control,t2,215.5335
3,Control,t2,68.4775
4,Control,t2,96.4075
5,Control,t2,65.7545
6,Control,t2,85.6625
7,Control,t2,47.3235
8,Control,t2,79.0125
1,Y_glucan,t2,127.8305
2,Y_glucan,t2,76.104
3,Y_glucan,t2,77.8645
4,Y_glucan,t2,105.959
5,Y_glucan,t2,136.5385
6,Y_glucan,t2,102.487
7,Y_glucan,t2,84.6265
8,Y_glucan,t2,107.429
1,Control,t3,59.9935
2,Control,t3,52.052
3,Control,t3,67.361
4,Control,t3,330.7955
5,Control,t3,81.354
6,Control,t3,227.0975
7,Control,t3,90.944
8,Control,t3,138.1905
1,Y_glucan,t3,35.987
2,Y_glucan,t3,49.287
3,Y_glucan,t3,154.581
4,Y_glucan,t3,48.58
5,Y_glucan,t3,80.5735
6,Y_glucan,t3,164.4475
7,Y_glucan,t3,80.5735
8,Y_glucan,t3,164.4475
