id,group,time,score
1,Control,t1,1.647084535
2,Control,t1,2.341439471
3,Control,t1,1.744097311
4,Control,t1,1.639307156
5,Control,t1,1.560474545
6,Control,t1,1.845879067
7,Control,t1,1.8549949
8,Control,t1,1.845879067
1,Y_glucan,t1,0.649578229
2,Y_glucan,t1,0.568964004
3,Y_glucan,t1,0.223495941
4,Y_glucan,t1,0.920097226
5,Y_glucan,t1,1.322436388
6,Y_glucan,t1,2.011927628
7,Y_glucan,t1,1.528730351
8,Y_glucan,t1,1.562851733
1,Control,t2,1.716174522
2,Control,t2,1.356245819
3,Control,t2,1.320405954
4,Control,t2,1.394101302
5,Control,t2,0.981660077
6,Control,t2,0.712270791
7,Control,t2,0.780857144
8,Control,t2,1.731080851
1,Y_glucan,t2,1.542283777
2,Y_glucan,t2,1.107311745
3,Y_glucan,t2,1.487513093
4,Y_glucan,t2,1.190863733
5,Y_glucan,t2,1.5774918
6,Y_glucan,t2,2.638982675
7,Y_glucan,t2,2.531224653
8,Y_glucan,t2,2.370958813
1,Control,t3,1.950829573
2,Control,t3,1.812177774
3,Control,t3,1.789037504
4,Control,t3,2.646062431
5,Control,t3,1.772596722
6,Control,t3,2.032576457
7,Control,t3,1.495454139
8,Control,t3,2.938598521
1,Y_glucan,t3,1.164099939
2,Y_glucan,t3,1.781611782
3,Y_glucan,t3,1.658478847
4,Y_glucan,t3,0.679836559
5,Y_glucan,t3,1.426990835
6,Y_glucan,t3,1.597108053
7,Y_glucan,t3,1.426990835
8,Y_glucan,t3,1.597108053
