id,group,time,score
1,Control,t1,2.047027463
2,Control,t1,2.077229781
3,Control,t1,1.641117009
4,Control,t1,1.785066331
5,Control,t1,1.470204615
6,Control,t1,2.002373436
7,Control,t1,1.842921121
8,Control,t1,2.002373436
1,Y_glucan,t1,1.491011315
2,Y_glucan,t1,1.400373911
3,Y_glucan,t1,1.708212627
4,Y_glucan,t1,1.589664816
5,Y_glucan,t1,1.621581296
6,Y_glucan,t1,1.920024137
7,Y_glucan,t1,1.726025905
8,Y_glucan,t1,2.191059582
1,Control,t2,2.220953615
2,Control,t2,2.283964604
3,Control,t2,1.975270929
4,Control,t2,2.08492286
5,Control,t2,1.863194933
6,Control,t2,1.992867086
7,Control,t2,1.77901536
8,Control,t2,1.94724006
1,Y_glucan,t2,2.125710552
2,Y_glucan,t2,1.951764802
3,Y_glucan,t2,1.991629162
4,Y_glucan,t2,2.026054991
5,Y_glucan,t2,2.281538992
6,Y_glucan,t2,2.134709286
7,Y_glucan,t2,2.024362504
8,Y_glucan,t2,2.092236266
1,Control,t3,1.760946186
2,Control,t3,1.757346674
3,Control,t3,1.98926734
4,Control,t3,2.589887635
5,Control,t3,1.971975909
6,Control,t3,2.392331078
7,Control,t3,2.039806592
8,Control,t3,2.214072556
1,Y_glucan,t3,1.548217386
2,Y_glucan,t3,1.80578282
3,Y_glucan,t3,2.192047271
4,Y_glucan,t3,1.740603459
5,Y_glucan,t3,1.955334111
6,Y_glucan,t3,2.312543347
7,Y_glucan,t3,1.955334111
8,Y_glucan,t3,2.312543347
