id,group,time,score
1,Control,t1,0.1076
2,Control,t1,0.1306
3,Control,t1,0.10365
4,Control,t1,0.10275
5,Control,t1,0.04535
6,Control,t1,0.1052
7,Control,t1,0.0802
8,Control,t1,0.0854
9,Control,t1,0.1413
10,Control,t1,0.0941
11,Control,t1,
12,Control,t1,0.0888
13,Control,t1,0.08
14,Control,t1,0.0972
15,Control,t1,0.0893
16,Control,t1,0.0804
1,Y_Glucan,t1,0.1654
2,Y_Glucan,t1,0.0011
3,Y_Glucan,t1,0.1441
4,Y_Glucan,t1,0.23845
5,Y_Glucan,t1,0.30405
6,Y_Glucan,t1,0.1286
7,Y_Glucan,t1,0.1238
8,Y_Glucan,t1,0.0903
9,Y_Glucan,t1,0.0666
10,Y_Glucan,t1,0.0786
11,Y_Glucan,t1,0.2559
12,Y_Glucan,t1,0.1404
13,Y_Glucan,t1,0.0789
14,Y_Glucan,t1,0.0675
15,Y_Glucan,t1,0.1868
16,Y_Glucan,t1,
1,Control,t2,0.1342
2,Control,t2,0.2441
3,Control,t2,0.4741
4,Control,t2,0.0841
5,Control,t2,0.1701
6,Control,t2,0.62515
7,Control,t2,0.2196
8,Control,t2,0.6227
9,Control,t2,0.4838
10,Control,t2,0.2313
11,Control,t2,0.2255
12,Control,t2,0.2846
13,Control,t2,0.6243
14,Control,t2,0.523
15,Control,t2,0.226
16,Control,t2,1.1788
1,Y_Glucan,t2,0.3472
2,Y_Glucan,t2,0.225
3,Y_Glucan,t2,0.22215
4,Y_Glucan,t2,0.36665
5,Y_Glucan,t2,0.52575
6,Y_Glucan,t2,0.66015
7,Y_Glucan,t2,0.3558
8,Y_Glucan,t2,0.3252
9,Y_Glucan,t2,0.0599
10,Y_Glucan,t2,0.6692
11,Y_Glucan,t2,0.1302
12,Y_Glucan,t2,0.501
13,Y_Glucan,t2,0.5894
14,Y_Glucan,t2,0.1773
15,Y_Glucan,t2,0.4224
16,Y_Glucan,t2,
1,Control,t3,0.854
2,Control,t3,0.473
3,Control,t3,1.01235
4,Control,t3,1.25895
5,Control,t3,0.12735
6,Control,t3,0.74165
7,Control,t3,0.4795
8,Control,t3,1.2146
9,Control,t3,0.5725
10,Control,t3,0.4039
11,Control,t3,0.6438
12,Control,t3,0.1974
13,Control,t3,0.2204
14,Control,t3,0.6439
15,Control,t3,0.8214
16,Control,t3,0.9346
1,Y_Glucan,t3,1.2428
2,Y_Glucan,t3,0.499
3,Y_Glucan,t3,0.3716
4,Y_Glucan,t3,0.7256
5,Y_Glucan,t3,0.5825
6,Y_Glucan,t3,0.6848
7,Y_Glucan,t3,0.3843
8,Y_Glucan,t3,0.3671
9,Y_Glucan,t3,0.2624
10,Y_Glucan,t3,0.5092
11,Y_Glucan,t3,0.1767
12,Y_Glucan,t3,0.3308
13,Y_Glucan,t3,0.6434
14,Y_Glucan,t3,0.2217
15,Y_Glucan,t3,0.7442
16,Y_Glucan,t3,
