id,group,time,score
1,Control,t1,
2,Control,t1,
3,Control,t1,0.36255
4,Control,t1,1.27105
5,Control,t1,0.30345
6,Control,t1,0.30285
7,Control,t1,2.2046
8,Control,t1,0.3074
9,Control,t1,2.1982
10,Control,t1,0.4123
11,Control,t1,0.3423
12,Control,t1,0.5858
13,Control,t1,1.0469
14,Control,t1,1.3007
15,Control,t1,1.2981
16,Control,t1,0.6492
1,Y_Glucan,t1,
2,Y_Glucan,t1,
3,Y_Glucan,t1,0.2657
4,Y_Glucan,t1,1.07755
5,Y_Glucan,t1,0.4845
6,Y_Glucan,t1,0.4299
7,Y_Glucan,t1,0.6888
8,Y_Glucan,t1,0.3157
9,Y_Glucan,t1,1.0587
10,Y_Glucan,t1,0.2176
11,Y_Glucan,t1,0.2868
12,Y_Glucan,t1,0.5141
13,Y_Glucan,t1,0.3236
14,Y_Glucan,t1,1.0969
15,Y_Glucan,t1,0.4914
16,Y_Glucan,t1,
1,Control,t2,0.7074
2,Control,t2,0.3569
3,Control,t2,0.49415
4,Control,t2,0.38825
5,Control,t2,0.2862
6,Control,t2,0.29015
7,Control,t2,0.6463
8,Control,t2,0.1321
9,Control,t2,0.9187
10,Control,t2,0.4602
11,Control,t2,0.5759
12,Control,t2,0.2292
13,Control,t2,1.0227
14,Control,t2,1.2237
15,Control,t2,0.3438
16,Control,t2,0.763
1,Y_Glucan,t2,0.2615
2,Y_Glucan,t2,0.7518
3,Y_Glucan,t2,0.3066
4,Y_Glucan,t2,0.32985
5,Y_Glucan,t2,0.3434
6,Y_Glucan,t2,0.25515
7,Y_Glucan,t2,0.5304
8,Y_Glucan,t2,0.1155
9,Y_Glucan,t2,0.4092
10,Y_Glucan,t2,0.6564
11,Y_Glucan,t2,0.1641
12,Y_Glucan,t2,0.5788
13,Y_Glucan,t2,0.3022
14,Y_Glucan,t2,0.2317
15,Y_Glucan,t2,0.1773
16,Y_Glucan,t2,
1,Control,t3,3.0931
2,Control,t3,2.2568
3,Control,t3,2.31025
4,Control,t3,3.12275
5,Control,t3,1.03015
6,Control,t3,2.0731
7,Control,t3,3.0849
8,Control,t3,2.6672
9,Control,t3,2.447
10,Control,t3,2.4238
11,Control,t3,3.4369
12,Control,t3,0.8235
13,Control,t3,1.6456
14,Control,t3,4
15,Control,t3,2.4303
16,Control,t3,3.4379
1,Y_Glucan,t3,3.25
2,Y_Glucan,t3,2.0603
3,Y_Glucan,t3,1.50185
4,Y_Glucan,t3,2.535
5,Y_Glucan,t3,2.9816
6,Y_Glucan,t3,1.74265
7,Y_Glucan,t3,2.0391
8,Y_Glucan,t3,1.4825
9,Y_Glucan,t3,1.4713
10,Y_Glucan,t3,2.3829
11,Y_Glucan,t3,0.7331
12,Y_Glucan,t3,2.2771
13,Y_Glucan,t3,2.9767
14,Y_Glucan,t3,1.6159
15,Y_Glucan,t3,2.7417
16,Y_Glucan,t3,
