id,group,time,score
1,Control,t1,-0.968187729
2,Control,t1,-0.884056823
3,Control,t1,-0.984430694
4,Control,t1,-0.988218169
5,Control,t1,-1.343422709
6,Control,t1,-0.97798426
7,Control,t1,-1.095825632
8,Control,t1,-1.068542129
9,Control,t1,-0.849857838
10,Control,t1,-1.026410377
11,Control,t1,-0.755475488
12,Control,t1,-1.051587034
13,Control,t1,-1.096910013
14,Control,t1,-1.012333735
15,Control,t1,-1.049148541
16,Control,t1,-1.094743951
1,Y_Glucan,t1,-0.781464495
2,Y_Glucan,t1,
3,Y_Glucan,t1,-0.841336019
4,Y_Glucan,t1,-0.622602673
5,Y_Glucan,t1,-0.517054992
6,Y_Glucan,t1,-0.890759031
7,Y_Glucan,t1,-0.907279355
8,Y_Glucan,t1,-1.04431225
9,Y_Glucan,t1,-1.176525771
10,Y_Glucan,t1,-1.104577454
11,Y_Glucan,t1,-0.591929714
12,Y_Glucan,t1,-0.852632892
13,Y_Glucan,t1,-1.102922997
14,Y_Glucan,t1,-1.170696227
15,Y_Glucan,t1,-0.728623128
16,Y_Glucan,t1,
1,Control,t2,-0.872247484
2,Control,t2,-0.612432221
3,Control,t2,-0.324130045
4,Control,t2,-1.075204004
5,Control,t2,-0.769295686
6,Control,t2,-0.204015764
7,Control,t2,-0.658367664
8,Control,t2,-0.205721134
9,Control,t2,-0.315334136
10,Control,t2,-0.635824367
11,Control,t2,-0.646853454
12,Control,t2,-0.545765104
13,Control,t2,-0.204606665
14,Control,t2,-0.281498311
15,Control,t2,-0.645891561
16,Control,t2,0.071440127
1,Y_Glucan,t2,-0.459420283
2,Y_Glucan,t2,-0.647817482
3,Y_Glucan,t2,-0.653353682
4,Y_Glucan,t2,-0.435748311
5,Y_Glucan,t2,-0.279220719
6,Y_Glucan,t2,-0.180357372
7,Y_Glucan,t2,-0.448794056
8,Y_Glucan,t2,-0.487849463
9,Y_Glucan,t2,-1.222573178
10,Y_Glucan,t2,-0.174444068
11,Y_Glucan,t2,-0.885389016
12,Y_Glucan,t2,-0.300162274
13,Y_Glucan,t2,-0.229589868
14,Y_Glucan,t2,-0.751291264
15,Y_Glucan,t2,-0.37427609
16,Y_Glucan,t2,
1,Control,t3,-0.068542129
2,Control,t3,-0.325138859
3,Control,t3,0.005330687
4,Control,t3,0.100008482
5,Control,t3,-0.895001051
6,Control,t3,-0.129800999
7,Control,t3,-0.319211388
8,Control,t3,0.084433277
9,Control,t3,-0.242224509
10,Control,t3,-0.393726147
11,Control,t3,-0.191249028
12,Control,t3,-0.704652852
13,Control,t3,-0.65678841
14,Control,t3,-0.191181575
15,Control,t3,-0.085445301
16,Control,t3,-0.029374223
1,Y_Glucan,t3,0.094401245
2,Y_Glucan,t3,-0.301899454
3,Y_Glucan,t3,-0.429924295
4,Y_Glucan,t3,-0.139302726
5,Y_Glucan,t3,-0.23470407
6,Y_Glucan,t3,-0.164436248
7,Y_Glucan,t3,-0.415329616
8,Y_Glucan,t3,-0.435215615
9,Y_Glucan,t3,-0.581036169
10,Y_Glucan,t3,-0.293111605
11,Y_Glucan,t3,-0.75276345
12,Y_Glucan,t3,-0.480434499
13,Y_Glucan,t3,-0.191518943
14,Y_Glucan,t3,-0.654234307
15,Y_Glucan,t3,-0.128310334
16,Y_Glucan,t3,
