id,group,time,score
1,Control,t1,
2,Control,t1,
3,Control,t1,-0.440632091
4,Control,t1,0.104162635
5,Control,t1,-0.517912858
6,Control,t1,-0.518772422
7,Control,t1,0.343329803
8,Control,t1,-0.512296137
9,Control,t1,0.342067204
10,Control,t1,-0.384786665
11,Control,t1,-0.465593101
12,Control,t1,-0.232250633
13,Control,t1,0.0199052
14,Control,t1,0.11417714
15,Control,t1,0.11330815
16,Control,t1,-0.187621489
1,Y_Glucan,t1,
2,Y_Glucan,t1,
3,Y_Glucan,t1,-0.575608446
4,Y_Glucan,t1,0.032437431
5,Y_Glucan,t1,-0.314706219
6,Y_Glucan,t1,-0.366632555
7,Y_Glucan,t1,-0.161906862
8,Y_Glucan,t1,-0.500725418
9,Y_Glucan,t1,0.024772913
10,Y_Glucan,t1,-0.662341109
11,Y_Glucan,t1,-0.542420853
12,Y_Glucan,t1,-0.288952396
13,Y_Glucan,t1,-0.489991487
14,Y_Glucan,t1,0.040167036
15,Y_Glucan,t1,-0.308564848
16,Y_Glucan,t1,
1,Control,t2,-0.150334945
2,Control,t2,-0.447453452
3,Control,t2,-0.3061412
4,Control,t2,-0.410888536
5,Control,t2,-0.543330371
6,Control,t2,-0.537377425
7,Control,t2,-0.189565844
8,Control,t2,-0.879097182
9,Control,t2,-0.036826284
10,Control,t2,-0.337053386
11,Control,t2,-0.239652921
12,Control,t2,-0.639785387
13,Control,t2,0.009748256
14,Control,t2,0.08767496
15,Control,t2,-0.463694128
16,Control,t2,-0.117475462
1,Y_Glucan,t2,-0.582528307
2,Y_Glucan,t2,-0.123897679
3,Y_Glucan,t2,-0.513427849
4,Y_Glucan,t2,-0.481683512
5,Y_Glucan,t2,-0.464199709
6,Y_Glucan,t2,-0.593204427
7,Y_Glucan,t2,-0.275396485
8,Y_Glucan,t2,-0.937418016
9,Y_Glucan,t2,-0.388064375
10,Y_Glucan,t2,-0.182831428
11,Y_Glucan,t2,-0.784891419
12,Y_Glucan,t2,-0.237471478
13,Y_Glucan,t2,-0.51970554
14,Y_Glucan,t2,-0.635073966
15,Y_Glucan,t2,-0.751291264
16,Y_Glucan,t2,
1,Control,t3,0.490393961
2,Control,t3,0.353493073
3,Control,t3,0.363658979
4,Control,t3,0.494537217
5,Control,t3,0.012900467
6,Control,t3,0.316620252
7,Control,t3,0.489241091
8,Control,t3,0.426055582
9,Control,t3,0.388633969
10,Control,t3,0.384496781
11,Control,t3,0.536166896
12,Control,t3,-0.084336396
13,Control,t3,0.216324279
14,Control,t3,0.602059991
15,Control,t3,0.385659887
16,Control,t3,0.53629324
1,Y_Glucan,t3,0.511883361
2,Y_Glucan,t3,0.313930463
3,Y_Glucan,t3,0.176626559
4,Y_Glucan,t3,0.403977964
5,Y_Glucan,t3,0.47444938
6,Y_Glucan,t3,0.241210171
7,Y_Glucan,t3,0.309438525
8,Y_Glucan,t3,0.170994702
9,Y_Glucan,t3,0.167701235
10,Y_Glucan,t3,0.377105817
11,Y_Glucan,t3,-0.13483678
12,Y_Glucan,t3,0.357382103
13,Y_Glucan,t3,0.473735067
14,Y_Glucan,t3,0.208414481
15,Y_Glucan,t3,0.438019932
16,Y_Glucan,t3,
