id,group,time,score
1,Control,t1,0.9624
2,Control,t1,0.7518
3,Control,t1,1.0078
4,Control,t1,0.5693
5,Control,t1,0.77985
6,Control,t1,0.92705
7,Control,t1,0.7722
8,Control,t1,1.0022
9,Control,t1,1.3701
10,Control,t1,0.4044
11,Control,t1,1.1965
12,Control,t1,0.881
13,Control,t1,0.5741
14,Control,t1,1.0628
15,Control,t1,0.6704
16,Control,t1,0.7636
1,Y_Glucan,t1,0.6427
2,Y_Glucan,t1,0.4432
3,Y_Glucan,t1,0.33255
4,Y_Glucan,t1,1.3053
5,Y_Glucan,t1,1.2802
6,Y_Glucan,t1,1.19055
7,Y_Glucan,t1,0.7092
8,Y_Glucan,t1,0.9384
9,Y_Glucan,t1,0.4257
10,Y_Glucan,t1,1.1025
11,Y_Glucan,t1,0.7406
12,Y_Glucan,t1,0.9564
13,Y_Glucan,t1,0.9625
14,Y_Glucan,t1,0.6383
15,Y_Glucan,t1,0.511
16,Y_Glucan,t1,
1,Control,t2,1.699
2,Control,t2,1.5414
3,Control,t2,1.34215
4,Control,t2,1.1262
5,Control,t2,1.48775
6,Control,t2,1.37815
7,Control,t2,1.3796
8,Control,t2,1.7341
9,Control,t2,1.4446
10,Control,t2,1.415
11,Control,t2,1.6776
12,Control,t2,1.3131
13,Control,t2,1.9473
14,Control,t2,1.3764
15,Control,t2,0.8829
16,Control,t2,1.2724
1,Y_Glucan,t2,1.3743
2,Y_Glucan,t2,1.3014
3,Y_Glucan,t2,1.244
4,Y_Glucan,t2,1.7872
5,Y_Glucan,t2,1.4585
6,Y_Glucan,t2,1.4825
7,Y_Glucan,t2,1.5006
8,Y_Glucan,t2,1.0824
9,Y_Glucan,t2,1.6235
10,Y_Glucan,t2,1.4072
11,Y_Glucan,t2,0.7954
12,Y_Glucan,t2,1.9645
13,Y_Glucan,t2,1.5014
14,Y_Glucan,t2,1.207
15,Y_Glucan,t2,1.1021
16,Y_Glucan,t2,
1,Control,t3,2.0296
2,Control,t3,1.4666
3,Control,t3,1.59045
4,Control,t3,1.87885
5,Control,t3,1.7867
6,Control,t3,1.722
7,Control,t3,1.8475
8,Control,t3,1.7142
9,Control,t3,1.5699
10,Control,t3,1.6132
11,Control,t3,1.461
12,Control,t3,1.693
13,Control,t3,1.5277
14,Control,t3,1.8786
15,Control,t3,2.2939
16,Control,t3,1.9825
1,Y_Glucan,t3,1.6094
2,Y_Glucan,t3,1.8623
3,Y_Glucan,t3,1.68565
4,Y_Glucan,t3,1.68695
5,Y_Glucan,t3,1.5188
6,Y_Glucan,t3,1.54225
7,Y_Glucan,t3,1.7269
8,Y_Glucan,t3,1.6894
9,Y_Glucan,t3,1.7265
10,Y_Glucan,t3,1.6592
11,Y_Glucan,t3,1.7048
12,Y_Glucan,t3,1.6008
13,Y_Glucan,t3,1.7694
14,Y_Glucan,t3,1.7658
15,Y_Glucan,t3,1.4788
16,Y_Glucan,t3,
