id,group,time,score
1,Control,t1,-0.016644386
2,Control,t1,-0.123897679
3,Control,t1,0.003374354
4,Control,t1,-0.244658816
5,Control,t1,-0.107988924
6,Control,t1,-0.032896842
7,Control,t1,-0.112270203
8,Control,t1,0.000954398
9,Control,t1,0.136752266
10,Control,t1,-0.393188853
11,Control,t1,0.077912703
12,Control,t1,-0.055024092
13,Control,t1,-0.241012453
14,Control,t1,0.026451546
15,Control,t1,-0.173665994
16,Control,t1,-0.11713408
1,Y_Glucan,t1,-0.1919917
2,Y_Glucan,t1,-0.353400248
3,Y_Glucan,t1,-0.478143048
4,Y_Glucan,t1,0.115710338
5,Y_Glucan,t1,0.107277823
6,Y_Glucan,t1,0.075747639
7,Y_Glucan,t1,-0.149231273
8,Y_Glucan,t1,-0.027612001
9,Y_Glucan,t1,-0.37089635
10,Y_Glucan,t1,0.042378598
11,Y_Glucan,t1,-0.130416292
12,Y_Glucan,t1,-0.019360433
13,Y_Glucan,t1,-0.016599262
14,Y_Glucan,t1,-0.194975156
15,Y_Glucan,t1,-0.2915791
16,Y_Glucan,t1,
1,Control,t2,0.230193379
2,Control,t2,0.187915355
3,Control,t2,0.127801056
4,Control,t2,0.051615523
5,Control,t2,0.172529959
6,Control,t2,0.139296489
7,Control,t2,0.139753186
8,Control,t2,0.239074138
9,Control,t2,0.159747611
10,Control,t2,0.15075644
11,Control,t2,0.224688417
12,Control,t2,0.118297801
13,Control,t2,0.289432864
14,Control,t2,0.138744664
15,Control,t2,-0.054088483
16,Control,t2,0.10462366
1,Y_Glucan,t2,0.138081546
2,Y_Glucan,t2,0.114410802
3,Y_Glucan,t2,0.09482038
4,Y_Glucan,t2,0.252173156
5,Y_Glucan,t2,0.163906433
6,Y_Glucan,t2,0.170994702
7,Y_Glucan,t2,0.176264942
8,Y_Glucan,t2,0.034387784
9,Y_Glucan,t2,0.210452293
10,Y_Glucan,t2,0.148355826
11,Y_Glucan,t2,-0.099414413
12,Y_Glucan,t2,0.293252033
13,Y_Glucan,t2,0.176496412
14,Y_Glucan,t2,0.08170727
15,Y_Glucan,t2,0.042221002
16,Y_Glucan,t2,
1,Control,t3,0.307410454
2,Control,t3,0.166311681
3,Control,t3,0.20152002
4,Control,t3,0.273892109
5,Control,t3,0.252051637
6,Control,t3,0.236033147
7,Control,t3,0.266584447
8,Control,t3,0.234061491
9,Control,t3,0.195871989
10,Control,t3,0.207688213
11,Control,t3,0.164650216
12,Control,t3,0.228656958
13,Control,t3,0.184038079
14,Control,t3,0.273834318
15,Control,t3,0.360574481
16,Control,t3,0.297213196
1,Y_Glucan,t3,0.206663997
2,Y_Glucan,t3,0.270049643
3,Y_Glucan,t3,0.226767405
4,Y_Glucan,t3,0.227102211
5,Y_Glucan,t3,0.181500588
6,Y_Glucan,t3,0.188154779
7,Y_Glucan,t3,0.23726719
8,Y_Glucan,t3,0.22773249
9,Y_Glucan,t3,0.237166583
10,Y_Glucan,t3,0.219898739
11,Y_Glucan,t3,0.231673437
12,Y_Glucan,t3,0.204337076
13,Y_Glucan,t3,0.247826023
14,Y_Glucan,t3,0.246941512
15,Y_Glucan,t3,0.169909442
16,Y_Glucan,t3,
