id ,group,time ,score
1,Control,t1,84.7315
2,Control,t1,60.0635
3,Control,t1,33.53
4,Control,t1,557.97
5,Control,t1,305.3645
6,Control,t1,657.4365
7,Control,t1,536.508
8,Control,t1,251.027
1,Control,t2,428.54
2,Control,t2,1287.4925
3,Control,t2,51.177
4,Control,t2,913.36
5,Control,t2,419.2265
6,Control,t2,1360.779
7,Control,t2,1951.3515
8,Control,t2,478.247
1,Control,t3,609.504
2,Control,t3,333.41
3,Control,t3,354.3575
4,Control,t3,
5,Control,t3,272.2475
6,Control,t3,77.8225
7,Control,t3,155.12
8,Control,t3,134.302
1,Y_glucan,t1,857.3705
2,Y_glucan,t1,179.2875
3,Y_glucan,t1,249.0355
4,Y_glucan,t1,891.2015
5,Y_glucan,t1,
6,Y_glucan,t1,740.012
7,Y_glucan,t1,614.8695
8,Y_glucan,t1,240.331
1,Y_glucan,t2,451.6575
2,Y_glucan,t2,1219.75
3,Y_glucan,t2,1504.5065
4,Y_glucan,t2,90.7305
5,Y_glucan,t2,2145.5385
6,Y_glucan,t2,648.494
7,Y_glucan,t2,945.9205
8,Y_glucan,t2,1594.103
1,Y_glucan,t3,506.2505
2,Y_glucan,t3,169.68
3,Y_glucan,t3,308.637
4,Y_glucan,t3,284.6305
5,Y_glucan,t3,159.4425
6,Y_glucan,t3,301.756
7,Y_glucan,t3,89.096
8,Y_glucan,t3,295.113
