id,group,time,score
1,Control,t1,0.231342138
2,Control,t1,1.124618326
3,Control,t1,0
4,Control,t1,1.038878357
5,Control,t1,1.250420002
6,Control,t1,1.227179437
7,Control,t1,0.83225337
8,Control,t1,0
1,Control,t2,1.245179416
2,Control,t2,1.11399346
3,Control,t2,0.848927713
4,Control,t2,1.052155067
5,Control,t2,1.133315317
6,Control,t2,1.354751718
7,Control,t2,1.32292187
8,Control,t2,0.97053283
1,Control,t3,1.795772299
2,Control,t3,1.690745248
3,Control,t3,1.238648175
4,Control,t3,1.591798946
5,Control,t3,1.240836187
6,Control,t3,1.300606352
7,Control,t3,1.309193525
8,Control,t3,1.229336214
1,Y_glucan,t1,1.333064201
2,Y_glucan,t1,1.443216034
3,Y_glucan,t1,0.976510459
4,Y_glucan,t1,1.170070936
5,Y_glucan,t1,
6,Y_glucan,t1,1.236449084
7,Y_glucan,t1,1.356226696
8,Y_glucan,t1,1.493980563
1,Y_glucan,t2,0.801197834
2,Y_glucan,t2,1.581323751
3,Y_glucan,t2,1.150633654
4,Y_glucan,t2,0.80573867
5,Y_glucan,t2,1.187887178
6,Y_glucan,t2,1.156185573
7,Y_glucan,t2,1.177103432
8,Y_glucan,t2,1.574979888
1,Y_glucan,t3,1.7104897
2,Y_glucan,t3,1.68829076
3,Y_glucan,t3,0
4,Y_glucan,t3,0
5,Y_glucan,t3,0.998564458
6,Y_glucan,t3,0.937241982
7,Y_glucan,t3,1.245352245
8,Y_glucan,t3,1.165837625
