id,group,time,score
1,Y_glucan,t1,27.685
2,Y_glucan,t1,15.827
3,Y_glucan,t1,11.1755
4,Y_glucan,t1,22.113
5,Y_glucan,t1,2.3415
6,Y_glucan,t1,30.5655
7,Y_glucan,t1,57.5855
8,Y_glucan,t1,13.0865
1,Y_glucan,t2,35.014
2,Y_glucan,t2,33.803
3,Y_glucan,t2,79.0405
4,Y_glucan,t2,9.674
5,Y_glucan,t2,57.113
6,Y_glucan,t2,35.203
7,Y_glucan,t2,44.5585
8,Y_glucan,t2,17.857
1,Control,t1,8.1795
2,Control,t1,8.295
3,Control,t1,3.4965
4,Control,t1,8.3965
5,Control,t1,21.553
6,Control,t1,71.498
7,Control,t1,35.9345
8,Control,t1,15.477
1,Control,t2,16.8385
2,Control,t2,31.087
3,Control,t2,17.1185
4,Control,t2,34.545
5,Control,t2,22.897
6,Control,t2,44.562
7,Control,t2,69.2125
8,Control,t2,35.3885
