id,group,time,score
1,Y_glucan,t1,8.974
2,Y_glucan,t1,4.263
3,Y_glucan,t1,3.8605
4,Y_glucan,t1,6.041
5,Y_glucan,t1,1.4805
6,Y_glucan,t1,12.187
7,Y_glucan,t1,18.914
8,Y_glucan,t1,6.034
1,Y_glucan,t2,7.7175
2,Y_glucan,t2,16.051
3,Y_glucan,t2,19.5405
4,Y_glucan,t2,4.8265
5,Y_glucan,t2,15.995
6,Y_glucan,t2,15.281
7,Y_glucan,t2,9.275
8,Y_glucan,t2,7.2695
1,Y_glucan,t3,
2,Y_glucan,t3,
3,Y_glucan,t3,
4,Y_glucan,t3,
5,Y_glucan,t3,
6,Y_glucan,t3,
7,Y_glucan,t3,
8,Y_glucan,t3,
1,Control,t1,3.6855
2,Control,t1,2.317
3,Control,t1,0.9835
4,Control,t1,5.684
5,Control,t1,6.09
6,Control,t1,8.904
7,Control,t1,6.3385
8,Control,t1,3.381
1,Control,t2,9.2995
2,Control,t2,21.8575
3,Control,t2,9.9715
4,Control,t2,16.0965
5,Control,t2,19.95
6,Control,t2,31.6855
7,Control,t2,17.9025
8,Control,t2,10.5945
1,Control,t3,
2,Control,t3,
3,Control,t3,
4,Control,t3,
5,Control,t3,
6,Control,t3,
7,Control,t3,
8,Control,t3,
