id,group,time,score
1,Y_glucan,t1,1.100370545
2,Y_glucan,t1,0.683947131
3,Y_glucan,t1,0.728759475
4,Y_glucan,t1,1.082138831
5,Y_glucan,t1,0.369494162
6,Y_glucan,t1,1.29925663
7,Y_glucan,t1,1.469792571
8,Y_glucan,t1,0.942008053
1,Y_glucan,t2,1.181857874
2,Y_glucan,t2,1.443286462
3,Y_glucan,t2,1.648828211
4,Y_glucan,t2,0.644093774
5,Y_glucan,t2,1.500380575
6,Y_glucan,t2,1.254608492
7,Y_glucan,t2,1.275817928
8,Y_glucan,t2,0.99646789
1,Control,t1,0.618152733
2,Control,t1,0.48756256
3,Control,t1,0.190471771
4,Control,t1,0.737470947
5,Control,t1,1.017846879
6,Control,t1,1.510538308
7,Control,t1,1.271690622
8,Control,t1,1.00134423
1,Control,t2,1.086519992
2,Control,t2,1.314993659
3,Control,t2,1.19679774
4,Control,t2,1.238760971
5,Control,t2,1.278867874
6,Control,t2,1.538429196
7,Control,t2,1.552625636
8,Control,t2,1.355710066
