id,group,time,score
1,Control,t1,1057.735
2,Control,t1,1432.515
3,Control,t1,1829.03
4,Control,t1,1466.815
5,Control,t1,809.34
6,Control,t1,2381.295
7,Control,t1,1033.76
8,Control,t1,352.625
1,Y_glucan,t1,180.88
2,Y_glucan,t1,985.95
3,Y_glucan,t1,669.935
4,Y_glucan,t1,1681.12
5,Y_glucan,t1,1176.525
6,Y_glucan,t1,1028.23
7,Y_glucan,t1,517.965
8,Y_glucan,t1,1338.75
1,Control,t2,906.99
2,Control,t2,
3,Control,t2,1176.42
4,Control,t2,1478.155
5,Control,t2,653.52
6,Control,t2,1154.055
7,Control,t2,1234.4395
8,Control,t2,1255.7895
1,Y_glucan,t2,808.64
2,Y_glucan,t2,2262.68
3,Y_glucan,t2,631.645
4,Y_glucan,t2,1478.75
5,Y_glucan,t2,562.345
6,Y_glucan,t2,440.16
7,Y_glucan,t2,872.844
8,Y_glucan,t2,2086.6685
1,Control,t3,1191.82
2,Control,t3,461.965
3,Control,t3,475.825
4,Control,t3,844.095
5,Control,t3,1212.12
6,Control,t3,629.51
7,Control,t3,729.8095
8,Control,t3,641.802
1,Y_glucan,t3,1343.51
2,Y_glucan,t3,808.43
3,Y_glucan,t3,915.915
4,Y_glucan,t3,395.64
5,Y_glucan,t3,1383.725
6,Y_glucan,t3,729.12
7,Y_glucan,t3,632.1105
8,Y_glucan,t3,680.8025
