id,group,time,score
1,Control,t1,2099.51
2,Control,t1,2994.495
3,Control,t1,1967.665
4,Control,t1,1855.21
5,Control,t1,1866.41
6,Control,t1,8508.29
7,Control,t1,1910.755
8,Control,t1,4617.655
1,Y_glucan,t1,552.615
2,Y_glucan,t1,2830.1
3,Y_glucan,t1,1866.62
4,Y_glucan,t1,2151.38
5,Y_glucan,t1,1116.815
6,Y_glucan,t1,2416.96
7,Y_glucan,t1,509.635
8,Y_glucan,t1,3690.68
1,Control,t2,2099.51
2,Control,t2,2994.495
3,Control,t2,1967.665
4,Control,t2,1855.21
5,Control,t2,1866.41
6,Control,t2,8508.29
7,Control,t2,1910.755
8,Control,t2,4617.655
1,Y_glucan,t2,1549.45
2,Y_glucan,t2,3715.39
3,Y_glucan,t2,1693.23
4,Y_glucan,t2,4424
5,Y_glucan,t2,1278.865
6,Y_glucan,t2,1766.31
7,Y_glucan,t2,1349.936
8,Y_glucan,t2,2072.217
1,Control,t3,2470.755
2,Control,t3,1856.295
3,Control,t3,856.45
4,Control,t3,2434.915
5,Control,t3,1653.295
6,Control,t3,1715.945
7,Control,t3,2105.88
8,Control,t3,1449.0525
1,Y_glucan,t3,2400.405
2,Y_glucan,t3,689.78
3,Y_glucan,t3,830.165
4,Y_glucan,t3,908.46
5,Y_glucan,t3,755.16
6,Y_glucan,t3,2259.04
7,Y_glucan,t3,583.219
8,Y_glucan,t3,3350.816
