id,group,time,score
1,Control,t1,2.821677259
2,Control,t1,3.076707785
3,Control,t1,3.160375479
4,Control,t1,2.913654935
5,Control,t1,2.735463161
6,Control,t1,3.005776614
7,Control,t1,2.841303146
8,Control,t1,2.501196242
1,Y_glucan,t1,1.826690157
2,Y_glucan,t1,2.277265309
3,Y_glucan,t1,2.306671594
4,Y_glucan,t1,2.443997927
5,Y_glucan,t1,2.932506741
6,Y_glucan,t1,2.942632987
7,Y_glucan,t1,2.407985421
8,Y_glucan,t1,2.954018066
1,Control,t2,2.818064158
2,Control,t2,2.900457256
3,Control,t2,2.535072485
4,Control,t2,2.347729968
5,Control,t2,2.478970303
6,Control,t2,2.630676989
7,Control,t2,2.930574144
8,Control,t2,2.799379152
1,Y_glucan,t2,2.675301639
2,Y_glucan,t2,2.832384355
3,Y_glucan,t2,2.569414879
4,Y_glucan,t2,3.187579939
5,Y_glucan,t2,2.767486101
6,Y_glucan,t2,2.494530263
7,Y_glucan,t2,2.647868346
8,Y_glucan,t2,2.794160983
1,Control,t3,3.172691941
2,Control,t3,2.654994287
3,Control,t3,2.671788197
4,Control,t3,2.800833882
5,Control,t3,2.669907008
6,Control,t3,2.815584389
7,Control,t3,2.800381607
8,Control,t3,2.560992796
1,Y_glucan,t3,3.128240903
2,Y_glucan,t3,2.907642421
3,Y_glucan,t3,2.961855172
4,Y_glucan,t3,2.597300193
5,Y_glucan,t3,3.141049787
6,Y_glucan,t3,2.862799011
7,Y_glucan,t3,2.800793004
8,Y_glucan,t3,2.833021142
