id,group,time,score
1,Control,t1,3.322117948
2,Control,t1,3.476323592
3,Control,t1,3.293951161
4,Control,t1,3.268393077
5,Control,t1,3.271007053
6,Control,t1,3.929842284
7,Control,t1,3.281205005
8,Control,t1,3.664421482
1,Y_glucan,t1,2.742422669
2,Y_glucan,t1,3.451801781
3,Y_glucan,t1,3.271055915
4,Y_glucan,t1,3.332717127
5,Y_glucan,t1,3.047981238
6,Y_glucan,t1,3.383269463
7,Y_glucan,t1,2.707259246
8,Y_glucan,t1,3.567106391
1,Control,t2,3.322117948
2,Control,t2,3.476323592
3,Control,t2,3.293951161
4,Control,t2,3.268393077
5,Control,t2,3.271007053
6,Control,t2,3.929842284
7,Control,t2,3.281205005
8,Control,t2,3.664421482
1,Y_glucan,t2,3.190177566
2,Y_glucan,t2,3.570004408
3,Y_glucan,t2,3.228715955
4,Y_glucan,t2,3.645815118
5,Y_glucan,t2,3.106824702
6,Y_glucan,t2,3.247066928
7,Y_glucan,t2,3.130313179
8,Y_glucan,t2,3.316435232
1,Control,t3,3.392829683
2,Control,t3,3.268646995
3,Control,t3,2.932702014
4,Control,t3,3.386483805
5,Control,t3,3.218350352
6,Control,t3,3.234503364
7,Control,t3,3.32343362
8,Control,t3,3.16108412
1,Y_glucan,t3,3.380284523
2,Y_glucan,t3,2.838710598
3,Y_glucan,t3,2.919164419
4,Y_glucan,t3,2.95830581
5,Y_glucan,t3,2.878038978
6,Y_glucan,t3,3.353923921
7,Y_glucan,t3,2.765831664
8,Y_glucan,t3,3.525150581
