id,group,time,score
1,Control,t1,3.295747377
2,Control,t1,3.497489444
3,Control,t1,3.363776454
4,Control,t1,3.314853803
5,Control,t1,3.294260053
6,Control,t1,3.807315796
7,Control,t1,3.335042464
8,Control,t1,3.648579055
1,Y_glucan,t1,2.777064155
2,Y_glucan,t1,3.59173613
3,Y_glucan,t1,3.365980966
4,Y_glucan,t1,3.373719114
5,Y_glucan,t1,3.149793172
6,Y_glucan,t1,3.339676977
7,Y_glucan,t1,2.604388073
8,Y_glucan,t1,3.695103693
1,Control,t2,3.547170826
2,Control,t2,3.651630735
3,Control,t2,3.314758085
4,Control,t2,3.354488761
5,Control,t2,3.363164294
6,Control,t2,3.623470001
7,Control,t2,3.415718025
8,Control,t2,3.773069121
1,Y_glucan,t2,3.243194367
2,Y_glucan,t2,3.652325165
3,Y_glucan,t2,3.291588606
4,Y_glucan,t2,3.672984023
5,Y_glucan,t2,3.255740326
6,Y_glucan,t2,3.344544545
7,Y_glucan,t2,3.196178949
8,Y_glucan,t2,3.657050544
1,Control,t3,3.459705278
2,Control,t3,3.408656247
3,Control,t3,3.124148688
4,Control,t3,3.534824119
5,Control,t3,3.428818108
6,Control,t3,3.383407799
7,Control,t3,3.644303455
8,Control,t3,3.176252931
1,Y_glucan,t3,3.457054891
2,Y_glucan,t3,3.017394405
3,Y_glucan,t3,3.094614356
4,Y_glucan,t3,3.010564948
5,Y_glucan,t3,3.143776491
6,Y_glucan,t3,3.498975962
7,Y_glucan,t3,2.817906986
8,Y_glucan,t3,3.503824717
