id,group,time,score
1,Control,t1,170.527
2,Control,t1,203.308
3,Control,t1,83.1495
4,Control,t1,52.409
5,Control,t1,34.5275
6,Control,t1,81.494
7,Control,t1,83.468
8,Control,t1,81.494
1,Y_glucan,t1,12.1135
2,Y_glucan,t1,6.783
3,Y_glucan,t1,9.296
4,Y_glucan,t1,17.157
5,Y_glucan,t1,37.31
6,Y_glucan,t1,119.154
7,Y_glucan,t1,15.9285
8,Y_glucan,t1,19.8975
1,Control,t2,72.1315
2,Control,t2,49.2275
3,Control,t2,36.3895
4,Control,t2,51.5375
5,Control,t2,28.1295
6,Control,t2,17.206
7,Control,t2,15.0045
8,Control,t2,97.174
1,Y_glucan,t2,60.053
2,Y_glucan,t2,29.106
3,Y_glucan,t2,28.483
4,Y_glucan,t2,40.1625
5,Y_glucan,t2,82.271
6,Y_glucan,t2,129.7135
7,Y_glucan,t2,438.011
8,Y_glucan,t2,330.2075
1,Control,t3,37.94
2,Control,t3,157.234
3,Control,t3,90.538
4,Control,t3,819.644
5,Control,t3,102.543
6,Control,t3,360.9725
7,Control,t3,64.3685
8,Control,t3,849.954
1,Y_glucan,t3,20.125
2,Y_glucan,t3,86.8665
3,Y_glucan,t3,73.4825
4,Y_glucan,t3,8.1235
5,Y_glucan,t3,71.0255
6,Y_glucan,t3,76.6325
7,Y_glucan,t3,71.0255
8,Y_glucan,t3,76.6325
