id,group,time,score
1,Control,t1,80.507
2,Control,t1,96.5265
3,Control,t1,36.5225
4,Control,t1,44.8805
5,Control,t1,25.0215
6,Control,t1,91.896
7,Control,t1,63.0595
8,Control,t1,91.896
1,Y_glucan,t1,29.883
2,Y_glucan,t1,22.7465
3,Y_glucan,t1,48.902
4,Y_glucan,t1,36.9775
5,Y_glucan,t1,37.289
6,Y_glucan,t1,81.34
7,Y_glucan,t1,48.328
8,Y_glucan,t1,126.98
1,Control,t2,122.0975
2,Control,t2,165.1755
3,Control,t2,51.275
4,Control,t2,71.5575
5,Control,t2,36.68
6,Control,t2,68.859
7,Control,t2,46.1685
8,Control,t2,81.9875
1,Y_glucan,t2,85.1305
2,Y_glucan,t2,67.935
3,Y_glucan,t2,58.4745
4,Y_glucan,t2,65.492
5,Y_glucan,t2,128.6775
6,Y_glucan,t2,97.4225
7,Y_glucan,t2,79.401
8,Y_glucan,t2,96.5545
1,Control,t3,53.2035
2,Control,t3,66.325
3,Control,t3,66.9935
4,Control,t3,279.559
5,Control,t3,64.449
6,Control,t3,166.992
7,Control,t3,64.715
8,Control,t3,136.9865
1,Y_glucan,t3,26.2465
2,Y_glucan,t3,28.5985
3,Y_glucan,t3,124.5615
4,Y_glucan,t3,44.6635
5,Y_glucan,t3,68.082
6,Y_glucan,t3,152.796
7,Y_glucan,t3,68.082
8,Y_glucan,t3,152.796
