id,group,time,score
1,Control,t1,75.8
2,Control,t1,57.8
3,Control,t1,103
4,Control,t1,51.4
5,Control,t1,33.4
6,Control,t1,43.6
7,Control,t1,69.4
8,Control,t1,69.4
1,Y_glucan,t1,62.9
2,Y_glucan,t1,78.4
3,Y_glucan,t1,80.9
4,Y_glucan,t1,82.2
5,Y_glucan,t1,
6,Y_glucan,t1,25.7
7,Y_glucan,t1,64.2
8,Y_glucan,t1,28.2
1,Control,t2,121
2,Control,t2,133
3,Control,t2,131
4,Control,t2,127
5,Control,t2,105
6,Control,t2,155
7,Control,t2,305
8,Control,t2,269
1,Y_glucan,t2,333
2,Y_glucan,t2,205
3,Y_glucan,t2,179
4,Y_glucan,t2,147
5,Y_glucan,t2,151
6,Y_glucan,t2,191
7,Y_glucan,t2,245
8,Y_glucan,t2,148
1,Control,t3,274
2,Control,t3,109
3,Control,t3,157
4,Control,t3,133
5,Control,t3,169
6,Control,t3,134
7,Control,t3,204
8,Control,t3,148
1,Y_glucan,t3,238
2,Y_glucan,t3,186
3,Y_glucan,t3,151
4,Y_glucan,t3,195
5,Y_glucan,t3,136
6,Y_glucan,t3,111
7,Y_glucan,t3,143
8,Y_glucan,t3,177
