id,group,time,score
1,Control,t1,0.085
2,Control,t1,0.86
3,Control,t1,0.3
4,Control,t1,0.22
5,Control,t1,0.38
6,Control,t1,0.71
7,Control,t1,0.35
8,Control,t1,0.46
1,Y_glucan,t1,0.41
2,Y_glucan,t1,0.17
3,Y_glucan,t1,0.15
4,Y_glucan,t1,0.15
5,Y_glucan,t1,
6,Y_glucan,t1,0.41
7,Y_glucan,t1,0.32
8,Y_glucan,t1,0.2
1,Control,t2,0.023
2,Control,t2,0.09
3,Control,t2,0.035
4,Control,t2,0.063
5,Control,t2,0.043
6,Control,t2,0.079
7,Control,t2,0.1
8,Control,t2,0.13
1,Y_glucan,t2,0.16
2,Y_glucan,t2,0.089
3,Y_glucan,t2,0.098
4,Y_glucan,t2,0.2
5,Y_glucan,t2,0.22
6,Y_glucan,t2,0.09
7,Y_glucan,t2,0.12
8,Y_glucan,t2,0.11
1,Control,t3,0.1
2,Control,t3,0.12
3,Control,t3,0.14
4,Control,t3,0.3
5,Control,t3,0.07
6,Control,t3,0.17
7,Control,t3,0.14
8,Control,t3,0.48
1,Y_glucan,t3,0.11
2,Y_glucan,t3,0.082
3,Y_glucan,t3,0.19
4,Y_glucan,t3,0.11
5,Y_glucan,t3,0.18
6,Y_glucan,t3,0.05
7,Y_glucan,t3,0.49
8,Y_glucan,t3,0.19
