id,group,time,score
1,Control,t1,-0.677780705
2,Control,t1,0.201397124
3,Control,t1,-0.958607315
4,Control,t1,-0.522878745
5,Control,t1,-0.366531544
6,Control,t1,-0.15490196
7,Control,t1,-0.22184875
8,Control,t1,-0.494850022
1,Y_glucan,t1,-0.251811973
2,Y_glucan,t1,-0.568636236
3,Y_glucan,t1,-0.602059991
4,Y_glucan,t1,0.086359831
5,Y_glucan,t1,
6,Y_glucan,t1,-0.070581074
7,Y_glucan,t1,-0.070581074
8,Y_glucan,t1,-0.283996656
1,Control,t2,-0.886056648
2,Control,t2,-0.698970004
3,Control,t2,-0.552841969
4,Control,t2,-0.795880017
5,Control,t2,-0.769551079
6,Control,t2,
7,Control,t2,-0.823908741
8,Control,t2,-0.585026652
1,Y_glucan,t2,-0.677780705
2,Y_glucan,t2,-0.568636236
3,Y_glucan,t2,-0.283996656
4,Y_glucan,t2,-0.552841969
5,Y_glucan,t2,-0.638272164
6,Y_glucan,t2,-0.698970004
7,Y_glucan,t2,-1
8,Y_glucan,t2,-0.346787486
1,Control,t3,-0.337242168
2,Control,t3,-0.408935393
3,Control,t3,-0.455931956
4,Control,t3,-0.30980392
5,Control,t3,-0.420216403
6,Control,t3,-0.187086643
7,Control,t3,-0.721246399
8,Control,t3,-0.443697499
1,Y_glucan,t3,-0.207608311
2,Y_glucan,t3,-0.443697499
3,Y_glucan,t3,-0.075720714
4,Y_glucan,t3,-0.585026652
5,Y_glucan,t3,-0.455931956
6,Y_glucan,t3,-0.886056648
7,Y_glucan,t3,-0.102372909
8,Y_glucan,t3,-0.091514981
