id,group,time,score
1,Control,t1,1.195899652
2,Control,t1,1.252853031
3,Control,t1,1.252853031
4,Control,t1,1.294466226
5,Control,t1,1.36361198
6,Control,t1,
7,Control,t1,1.421603927
8,Control,t1,1.257678575
1,Y_glucan,t1,1.328379603
2,Y_glucan,t1,1.290034611
3,Y_glucan,t1,1.390935107
4,Y_glucan,t1,1.274157849
5,Y_glucan,t1,1.309630167
6,Y_glucan,t1,1.209515015
7,Y_glucan,t1,1.344392274
8,Y_glucan,t1,1.127104798
1,Control,t2,1.136720567
2,Control,t2,1.240549248
3,Control,t2,1.294466226
4,Control,t2,1.294466226
5,Control,t2,1.238046103
6,Control,t2,1.338456494
7,Control,t2,1.29666519
8,Control,t2,1.301029996
1,Y_glucan,t2,1.537819095
2,Y_glucan,t2,1.36361198
3,Y_glucan,t2,1.50242712
4,Y_glucan,t2,1.369215857
5,Y_glucan,t2,1.423245874
6,Y_glucan,t2,1.496929648
7,Y_glucan,t2,1.322219295
8,Y_glucan,t2,1.086359831
1,Control,t3,1.432969291
2,Control,t3,1.334453751
3,Control,t3,1.437750563
4,Control,t3,1.475671188
5,Control,t3,1.426511261
6,Control,t3,1.346352974
7,Control,t3,1.278753601
8,Control,t3,1.11058971
1,Y_glucan,t3,1.457881897
2,Y_glucan,t3,1.31386722
3,Y_glucan,t3,1.371067862
4,Y_glucan,t3,1.465382851
5,Y_glucan,t3,1.303196057
6,Y_glucan,t3,1.409933123
7,Y_glucan,t3,1.322219295
8,Y_glucan,t3,1.389166084
