id,group,time,score
1,Control,t1,0.761175813
2,Control,t1,0.380211242
3,Control,t1,0.635483747
4,Control,t1,0.559906625
5,Control,t1,0.665580991
6,Control,t1,
7,Control,t1,0.346352974
8,Control,t1,0.463892989
1,Y_glucan,t1,0.764176132
2,Y_glucan,t1,0.86332286
3,Y_glucan,t1,0.463892989
4,Y_glucan,t1,0.729974286
5,Y_glucan,t1,0.209515015
6,Y_glucan,t1,0.029383778
7,Y_glucan,t1,0.264817823
8,Y_glucan,t1,0.411619706
1,Control,t2,1.195899652
2,Control,t2,1.049218023
3,Control,t2,1.08278537
4,Control,t2,0.918554531
5,Control,t2,1.123851641
6,Control,t2,1.338456494
7,Control,t2,1.204119983
8,Control,t2,1.017033339
1,Y_glucan,t2,1.021189299
2,Y_glucan,t2,1.033423755
3,Y_glucan,t2,0.825426118
4,Y_glucan,t2,0.922206277
5,Y_glucan,t2,0.534026106
6,Y_glucan,t2,1.021189299
7,Y_glucan,t2,0.937016107
8,Y_glucan,t2,1.338456494
1,Control,t3,0.909556029
2,Control,t3,0.630427875
3,Control,t3,0.5774918
4,Control,t3,0.736396502
5,Control,t3,0.826074803
6,Control,t3,0.864511081
7,Control,t3,1.161368002
8,Control,t3,0.950364854
1,Y_glucan,t3,0.752048448
2,Y_glucan,t3,0.514547753
3,Y_glucan,t3,0.771587481
4,Y_glucan,t3,0.710963119
5,Y_glucan,t3,1.053078443
6,Y_glucan,t3,1.025305865
7,Y_glucan,t3,0.6599162
8,Y_glucan,t3,1.053078443
